SessionId,RecordingId,Condition,EventType,EventId,StartAbsTime,EndAbsTime,StartElapsedSec,EndElapsedSec,DurationMs,StartSampleIndex,EndSampleIndex,MaxClosure,MeanClosure,IsAccepted,TrackingInterrupted,EndReason
20260821_102553_275,1,Unspecified,Blink,1,2026-08-21T10:26:02.7319357+09:00,2026-08-21T10:26:04.1489357+09:00,9.456398,10.873113,1416.715,19,104,1.000000,0.965210,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,2,2026-08-21T10:26:04.3989357+09:00,2026-08-21T10:26:05.2879357+09:00,11.123132,12.011543,888.411,119,173,0.997866,0.940031,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,3,2026-08-21T10:26:06.8989357+09:00,2026-08-21T10:26:07.0659357+09:00,13.623012,13.789577,166.565,269,279,0.773564,0.697512,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,4,2026-08-21T10:26:07.2319357+09:00,2026-08-21T10:26:08.2599357+09:00,13.956158,14.983873,1027.714,289,351,0.980343,0.890279,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,5,2026-08-21T10:26:08.5239357+09:00,2026-08-21T10:26:09.7599357+09:00,15.247638,16.483805,1236.167,367,441,0.946682,0.922355,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,6,2026-08-21T10:26:10.1759357+09:00,2026-08-21T10:26:10.9809357+09:00,16.900200,17.705461,805.261,466,514,0.903900,0.815182,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,7,2026-08-21T10:26:11.2459357+09:00,2026-08-21T10:26:11.6619357+09:00,17.969558,18.385991,416.433,530,555,0.864602,0.650914,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,8,2026-08-21T10:26:12.5649357+09:00,2026-08-21T10:26:12.6619357+09:00,19.288707,19.385907,97.199,609,615,0.888214,0.677661,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,9,2026-08-21T10:26:14.7449357+09:00,2026-08-21T10:26:15.1749357+09:00,21.468877,21.899246,430.369,740,766,1.000000,0.869665,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,10,2026-08-21T10:26:15.5089357+09:00,2026-08-21T10:26:15.5639357+09:00,22.232674,22.288185,55.511,786,789,0.826114,0.546553,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,11,2026-08-21T10:26:15.7309357+09:00,2026-08-21T10:26:15.8139357+09:00,22.454733,22.538115,83.383,799,804,0.834822,0.696534,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,12,2026-08-21T10:26:17.1609357+09:00,2026-08-21T10:26:17.4249357+09:00,23.885049,24.148954,263.905,885,901,0.873317,0.730644,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,13,2026-08-21T10:26:17.5359357+09:00,2026-08-21T10:26:17.6049357+09:00,24.260093,24.329460,69.366,908,912,0.844528,0.697493,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,14,2026-08-21T10:26:19.2299357+09:00,2026-08-21T10:26:19.6049357+09:00,25.954191,26.329231,375.040,1009,1032,0.983948,0.834412,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,15,2026-08-21T10:26:21.2709357+09:00,2026-08-21T10:26:21.3819357+09:00,27.995158,28.106311,111.153,1132,1138,0.851938,0.558768,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,16,2026-08-21T10:26:21.5909357+09:00,2026-08-21T10:26:21.7569357+09:00,28.314689,28.481278,166.589,1151,1161,0.931002,0.719765,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,17,2026-08-21T10:26:23.1459357+09:00,2026-08-21T10:26:23.2989357+09:00,29.870085,30.022773,152.688,1244,1253,0.825608,0.638512,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,18,2026-08-21T10:26:23.3819357+09:00,2026-08-21T10:26:23.5209357+09:00,30.106172,30.245083,138.911,1258,1267,0.937821,0.786002,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,19,2026-08-21T10:26:23.7149357+09:00,2026-08-21T10:26:23.8129357+09:00,30.439397,30.536567,97.170,1278,1284,0.910687,0.717150,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,20,2026-08-21T10:26:24.0209357+09:00,2026-08-21T10:26:24.1319357+09:00,30.744983,30.856132,111.149,1297,1303,0.925719,0.737633,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,21,2026-08-21T10:26:25.2979357+09:00,2026-08-21T10:26:25.3819357+09:00,32.022476,32.105777,83.301,1373,1378,0.791337,0.526905,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,22,2026-08-21T10:26:25.5479357+09:00,2026-08-21T10:26:25.7149357+09:00,32.272468,32.439183,166.716,1388,1398,0.933873,0.789748,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,23,2026-08-21T10:26:27.3399357+09:00,2026-08-21T10:26:27.4929357+09:00,34.063970,34.216624,152.654,1496,1505,0.787681,0.577173,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,24,2026-08-21T10:26:29.1449357+09:00,2026-08-21T10:26:29.2979357+09:00,35.868987,36.021692,152.705,1604,1613,0.927406,0.804040,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,25,2026-08-21T10:26:29.5619357+09:00,2026-08-21T10:26:30.1309357+09:00,36.285574,36.854916,569.342,1629,1663,0.979359,0.836814,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,26,2026-08-21T10:26:31.3249357+09:00,2026-08-21T10:26:31.3809357+09:00,38.048940,38.104594,55.654,1735,1738,0.491102,0.381469,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,27,2026-08-21T10:26:31.5469357+09:00,2026-08-21T10:26:31.8809357+09:00,38.271321,38.604612,333.291,1748,1768,0.937775,0.855082,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,28,2026-08-21T10:26:33.3109357+09:00,2026-08-21T10:26:33.4219357+09:00,40.035120,40.146373,111.253,1854,1861,0.769008,0.574142,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,29,2026-08-21T10:26:33.6719357+09:00,2026-08-21T10:26:33.8949357+09:00,40.396219,40.618522,222.303,1876,1889,0.940832,0.816049,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,30,2026-08-21T10:26:35.2549357+09:00,2026-08-21T10:26:35.6579357+09:00,41.979254,42.382035,402.780,1971,1995,0.948102,0.836976,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,31,2026-08-21T10:26:37.2959357+09:00,2026-08-21T10:26:37.3239357+09:00,44.020407,44.048210,27.803,2093,2095,0.592500,0.423899,0,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,32,2026-08-21T10:26:37.6989357+09:00,2026-08-21T10:26:37.7819357+09:00,44.423082,44.506417,83.335,2117,2122,0.789221,0.600422,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,33,2026-08-21T10:26:37.9909357+09:00,2026-08-21T10:26:38.1159357+09:00,44.714719,44.839762,125.043,2135,2142,0.884172,0.610002,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,34,2026-08-21T10:26:39.2409357+09:00,2026-08-21T10:26:39.3239357+09:00,45.964580,46.047855,83.275,2210,2215,0.780031,0.561977,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,35,2026-08-21T10:26:39.4629357+09:00,2026-08-21T10:26:39.5599357+09:00,46.186777,46.283980,97.203,2223,2229,0.812439,0.526894,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,36,2026-08-21T10:26:39.9769357+09:00,2026-08-21T10:26:40.0879357+09:00,46.700607,46.811641,111.034,2254,2261,0.809472,0.573468,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,37,2026-08-21T10:26:41.2679357+09:00,2026-08-21T10:26:41.5459357+09:00,47.992121,48.269764,277.643,2332,2348,0.931546,0.778280,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,38,2026-08-21T10:26:41.8369357+09:00,2026-08-21T10:26:41.9759357+09:00,48.561402,48.700123,138.721,2366,2374,0.865903,0.659168,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,39,2026-08-21T10:26:43.2819357+09:00,2026-08-21T10:26:43.3229357+09:00,50.005507,50.047310,41.802,2452,2455,0.661100,0.492998,0,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,40,2026-08-21T10:26:44.1979357+09:00,2026-08-21T10:26:44.3649357+09:00,50.922450,51.089220,166.770,2507,2517,0.682796,0.472927,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,41,2026-08-21T10:26:45.1979357+09:00,2026-08-21T10:26:45.5319357+09:00,51.922259,52.255662,333.403,2567,2587,0.926871,0.842062,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,42,2026-08-21T10:26:45.8369357+09:00,2026-08-21T10:26:45.8789357+09:00,52.561043,52.602724,41.681,2606,2608,0.803873,0.555679,0,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,43,2026-08-21T10:26:47.3089357+09:00,2026-08-21T10:26:47.3919357+09:00,54.032894,54.116285,83.392,2694,2699,0.761227,0.581500,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,44,2026-08-21T10:26:47.6279357+09:00,2026-08-21T10:26:47.7809357+09:00,54.352392,54.505111,152.719,2713,2722,0.718554,0.395961,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,45,2026-08-21T10:26:49.3779357+09:00,2026-08-21T10:26:49.8219357+09:00,56.101955,56.546455,444.500,2818,2845,0.971077,0.875901,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,46,2026-08-21T10:26:51.2389357+09:00,2026-08-21T10:26:51.4059357+09:00,57.962885,58.129623,166.738,2930,2940,0.710133,0.602953,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,47,2026-08-21T10:26:53.1829357+09:00,2026-08-21T10:26:53.4049357+09:00,59.906649,60.128905,222.256,3046,3060,0.930760,0.750484,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,48,2026-08-21T10:26:53.8489357+09:00,2026-08-21T10:26:53.9609357+09:00,60.573308,60.684636,111.329,3086,3093,0.858045,0.599895,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,49,2026-08-21T10:26:55.3489357+09:00,2026-08-21T10:26:55.4739357+09:00,62.073163,62.198090,124.928,3176,3184,0.747885,0.458118,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,50,2026-08-21T10:26:57.1819357+09:00,2026-08-21T10:26:57.6539357+09:00,63.906108,64.378215,472.108,3286,3315,0.976731,0.844799,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,51,2026-08-21T10:27:02.0139357+09:00,2026-08-21T10:27:02.0979357+09:00,68.738255,68.821522,83.267,3576,3581,0.723256,0.457831,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,52,2026-08-21T10:27:03.4309357+09:00,2026-08-21T10:27:03.5139357+09:00,70.154614,70.237976,83.361,3661,3666,0.821885,0.673165,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,53,2026-08-21T10:27:03.7079357+09:00,2026-08-21T10:27:03.7779357+09:00,70.432445,70.501951,69.506,3678,3682,0.818954,0.629431,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,54,2026-08-21T10:27:04.0279357+09:00,2026-08-21T10:27:04.1389357+09:00,70.751850,70.863056,111.206,3697,3704,0.846795,0.644756,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,55,2026-08-21T10:27:05.2919357+09:00,2026-08-21T10:27:05.6529357+09:00,72.015781,72.376877,361.096,3773,3795,0.975342,0.895052,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,56,2026-08-21T10:27:07.2359357+09:00,2026-08-21T10:27:07.3469357+09:00,73.959974,74.071033,111.059,3890,3896,0.778925,0.509502,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,57,2026-08-21T10:27:09.1109357+09:00,2026-08-21T10:27:09.2629357+09:00,75.834620,75.987284,152.664,4002,4011,0.945543,0.770310,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,58,2026-08-21T10:27:10.3599357+09:00,2026-08-21T10:27:10.4579357+09:00,77.084253,77.181641,97.387,4077,4083,0.899174,0.736231,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,59,2026-08-21T10:27:10.6659357+09:00,2026-08-21T10:27:10.7919357+09:00,77.389899,77.516024,126.125,4095,4103,0.947940,0.728626,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,60,2026-08-21T10:27:13.0819357+09:00,2026-08-21T10:27:13.1649357+09:00,79.805831,79.889083,83.252,4240,4245,0.841358,0.637291,1,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,61,2026-08-21T10:27:15.4559357+09:00,2026-08-21T10:27:15.4979357+09:00,82.180277,82.221950,41.673,4383,4385,0.656581,0.452531,0,0,EyesOpened
20260821_102553_275,1,Unspecified,Blink,62,2026-08-21T10:27:15.8309357+09:00,2026-08-21T10:27:15.9149357+09:00,82.555213,82.638640,83.427,4405,4410,0.517269,0.422283,1,0,EyesOpened
20260821_102553_275,1,Unspecified,TrackingFailure,63,2026-08-21T10:46:21.3049357+09:00,2026-08-21T10:46:21.3309357+09:00,1228.028707,1228.055034,26.327,73096,73097,,,,1,RecordingStopped
