SessionId,RecordingId,Condition,EventType,EventId,StartAbsTime,EndAbsTime,StartElapsedSec,EndElapsedSec,DurationMs,StartSampleIndex,EndSampleIndex,MaxClosure,MeanClosure,IsAccepted,TrackingInterrupted,EndReason
20260805_180709_229,1,Unspecified,Blink,1,2026-08-05T18:07:55.4985554+09:00,2026-08-05T18:07:55.6235554+09:00,46.268937,46.394303,125.365,1260,1267,0.766115,0.517218,1,0,EyesOpened
20260805_180709_229,1,Unspecified,Blink,2,2026-08-05T18:10:59.6885554+09:00,2026-08-05T18:10:59.8135554+09:00,230.459146,230.584463,125.317,12311,12319,0.584929,0.397826,1,0,EyesOpened
20260805_180709_229,1,Unspecified,TrackingFailure,3,2026-08-05T18:27:43.4655554+09:00,2026-08-05T18:27:47.4695554+09:00,1234.236431,1238.239932,4003.502,72539,72741,,,,1,RecordingStopped
