SessionId,RecordingId,Condition,AbsTime,ElapsedSec,EventType,Details
20260806_182807_719,1,Unspecified,2026-08-06T18:28:26.0386672+09:00,18.319298,SessionCreated,
20260806_182807_719,1,Unspecified,2026-08-06T18:28:26.0406672+09:00,18.320677,RecordingStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:29:24.6116672+09:00,76.892165,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:29:27.6146672+09:00,79.895184,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:30:27.6196672+09:00,139.900139,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:30:30.6266672+09:00,142.906588,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:31:30.6316672+09:00,202.912104,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:31:33.6376672+09:00,205.918190,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:32:33.6436672+09:00,265.923751,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:32:36.6496672+09:00,268.929914,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:33:36.6546672+09:00,328.934694,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:33:39.6606672+09:00,331.940835,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:34:39.6666672+09:00,391.946506,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:34:42.6716672+09:00,394.952312,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:35:42.6776672+09:00,454.958065,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:35:45.6826672+09:00,457.963214,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:36:45.6886672+09:00,517.969350,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:36:48.6946672+09:00,520.975130,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:37:48.7006672+09:00,580.980801,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:37:51.7066672+09:00,583.986833,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:38:51.7116672+09:00,643.991984,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:38:54.7166672+09:00,646.997137,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:39:54.7236672+09:00,707.003521,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:39:57.7286672+09:00,710.009445,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:40:57.7346672+09:00,770.015035,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:41:00.7406672+09:00,773.020757,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:42:00.7466672+09:00,833.026536,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:42:03.7516672+09:00,836.032316,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:43:03.7576672+09:00,896.037641,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:43:06.7626672+09:00,899.042989,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:44:06.7686672+09:00,959.048995,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:44:09.7736672+09:00,962.054404,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:45:09.7786672+09:00,1022.059190,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:45:12.7856672+09:00,1025.066046,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:46:12.7896672+09:00,1085.070203,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:46:15.7976672+09:00,1088.077536,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:47:15.8016672+09:00,1148.082387,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:47:18.8086672+09:00,1151.088853,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:48:18.8136672+09:00,1211.093981,DisturbanceStart,
20260806_182807_719,1,Unspecified,2026-08-06T18:48:21.8196672+09:00,1214.099782,DisturbanceEnd,
20260806_182807_719,1,Unspecified,2026-08-06T18:48:42.5456672+09:00,1234.826151,RecordingStop,
