SessionId,RecordingId,Condition,WindowIndex,WindowStartAbsTime,WindowEndAbsTime,WindowStartElapsedSec,WindowEndElapsedSec,SampleCount,ValidSampleCount,MeanGazeX,MeanGazeY,VarianceGazeX,VarianceGazeY,CovarianceXY,Dispersion,TrackingFailureCount
20260804_181426_120,1,Unspecified,0,2026-08-04T18:15:12.2336178+09:00,2026-08-04T18:15:12.7336178+09:00,46.112939,46.612939,30,30,-0.000889,-0.021342,0.000110,0.000011,0.000029,0.010987,0
20260804_181426_120,1,Unspecified,1,2026-08-04T18:15:12.7336178+09:00,2026-08-04T18:15:13.2336178+09:00,46.612939,47.112939,30,30,0.019343,-0.007851,0.000366,0.000530,0.000427,0.029922,0
20260804_181426_120,1,Unspecified,2,2026-08-04T18:15:13.2336178+09:00,2026-08-04T18:15:13.7336178+09:00,47.112939,47.612939,30,30,0.071068,0.070369,0.002890,0.002503,0.002105,0.073436,0
20260804_181426_120,1,Unspecified,3,2026-08-04T18:15:13.7336178+09:00,2026-08-04T18:15:14.2336178+09:00,47.612939,48.112939,30,30,0.016615,0.018185,0.001234,0.000487,0.000763,0.041482,0
20260804_181426_120,1,Unspecified,4,2026-08-04T18:15:14.2336178+09:00,2026-08-04T18:15:14.7336178+09:00,48.112939,48.612939,30,30,0.006665,-0.048786,0.000013,0.003226,0.000174,0.056909,0
20260804_181426_120,1,Unspecified,5,2026-08-04T18:15:14.7336178+09:00,2026-08-04T18:15:15.2336178+09:00,48.612939,49.112939,30,30,0.016237,-0.039678,0.000055,0.002524,0.000363,0.050790,0
20260804_181426_120,1,Unspecified,6,2026-08-04T18:15:15.2336178+09:00,2026-08-04T18:15:15.7336178+09:00,49.112939,49.612939,30,30,0.019081,-0.010052,0.000005,0.000005,0.000002,0.003083,0
20260804_181426_120,1,Unspecified,7,2026-08-04T18:15:15.7336178+09:00,2026-08-04T18:15:16.2336178+09:00,49.612939,50.112939,30,30,-0.001913,-0.045365,0.000032,0.000202,0.000065,0.015302,0
20260804_181426_120,1,Unspecified,8,2026-08-04T18:15:16.2336178+09:00,2026-08-04T18:15:16.7336178+09:00,50.112939,50.612939,30,30,0.005369,-0.024409,0.000001,0.000001,0.000000,0.001514,0
20260804_181426_120,1,Unspecified,9,2026-08-04T18:15:16.7336178+09:00,2026-08-04T18:15:17.2336178+09:00,50.612939,51.112939,30,30,0.008310,-0.027255,0.000001,0.000004,-0.000001,0.002215,0
20260804_181426_120,1,Unspecified,10,2026-08-04T18:15:17.2336178+09:00,2026-08-04T18:15:17.7336178+09:00,51.112939,51.612939,30,30,0.008805,-0.028002,0.000003,0.000001,0.000000,0.001974,0
20260804_181426_120,1,Unspecified,11,2026-08-04T18:15:17.7336178+09:00,2026-08-04T18:15:18.2336178+09:00,51.612939,52.112939,30,30,0.013443,-0.028975,0.000003,0.000002,0.000000,0.002158,0
20260804_181426_120,1,Unspecified,12,2026-08-04T18:15:18.2336178+09:00,2026-08-04T18:15:18.7336178+09:00,52.112939,52.612939,30,30,0.012852,-0.026507,0.000001,0.000005,-0.000001,0.002394,0
20260804_181426_120,1,Unspecified,13,2026-08-04T18:15:18.7336178+09:00,2026-08-04T18:15:19.2336178+09:00,52.612939,53.112939,30,30,0.013439,-0.026348,0.000002,0.000003,0.000000,0.002112,0
20260804_181426_120,1,Unspecified,14,2026-08-04T18:15:19.2336178+09:00,2026-08-04T18:15:19.7336178+09:00,53.112939,53.612939,30,30,0.010496,-0.155869,0.000028,0.017871,0.000584,0.133787,0
20260804_181426_120,1,Unspecified,15,2026-08-04T18:15:19.7336178+09:00,2026-08-04T18:15:20.2336178+09:00,53.612939,54.112939,30,30,-0.002521,-0.274709,0.000034,0.017632,0.000118,0.132914,0
20260804_181426_120,1,Unspecified,16,2026-08-04T18:15:20.2336178+09:00,2026-08-04T18:15:20.7336178+09:00,54.112939,54.612939,30,30,0.004625,-0.004837,0.000006,0.000294,-0.000025,0.017335,0
20260804_181426_120,1,Unspecified,17,2026-08-04T18:15:20.7336178+09:00,2026-08-04T18:15:21.2336178+09:00,54.612939,55.112939,30,30,0.008200,0.013573,0.000003,0.000004,-0.000002,0.002683,0
20260804_181426_120,1,Unspecified,18,2026-08-04T18:15:21.2336178+09:00,2026-08-04T18:15:21.7336178+09:00,55.112939,55.612939,30,30,0.034457,0.032545,0.001437,0.001244,0.001278,0.051776,0
20260804_181426_120,1,Unspecified,19,2026-08-04T18:15:21.7336178+09:00,2026-08-04T18:15:22.2336178+09:00,55.612939,56.112939,30,30,0.019750,-0.001848,0.000001,0.000005,-0.000001,0.002524,0
20260804_181426_120,1,Unspecified,20,2026-08-04T18:15:22.2336178+09:00,2026-08-04T18:15:22.7336178+09:00,56.112939,56.612939,30,30,0.009437,-0.000070,0.000137,0.000024,-0.000054,0.012673,0
20260804_181426_120,1,Unspecified,21,2026-08-04T18:15:22.7336178+09:00,2026-08-04T18:15:23.2336178+09:00,56.612939,57.112939,30,30,-0.002588,0.003476,0.000001,0.000003,0.000001,0.001971,0
20260804_181426_120,1,Unspecified,22,2026-08-04T18:15:23.2336178+09:00,2026-08-04T18:15:23.7336178+09:00,57.112939,57.612939,30,30,0.047325,0.018068,0.002149,0.000992,0.001353,0.056045,0
20260804_181426_120,1,Unspecified,23,2026-08-04T18:15:23.7336178+09:00,2026-08-04T18:15:24.2336178+09:00,57.612939,58.112939,30,30,0.014233,-0.008160,0.000186,0.000005,0.000026,0.013843,0
20260804_181426_120,1,Unspecified,24,2026-08-04T18:15:24.2336178+09:00,2026-08-04T18:15:24.7336178+09:00,58.112939,58.612939,30,30,0.002744,-0.006896,0.000022,0.000012,0.000015,0.005822,0
