SessionId,RecordingId,Condition,EventType,EventId,StartAbsTime,EndAbsTime,StartElapsedSec,EndElapsedSec,DurationMs,StartSampleIndex,EndSampleIndex,MaxClosure,MeanClosure,IsAccepted,TrackingInterrupted,EndReason
20260804_160114_807,1,Unspecified,Blink,1,2026-08-04T16:02:10.5088752+09:00,2026-08-04T16:02:10.6418752+09:00,55.700840,55.834305,133.465,71,79,0.906110,0.668914,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,2,2026-08-04T16:02:11.5318752+09:00,2026-08-04T16:02:12.3208752+09:00,56.723662,57.512686,789.024,133,180,1.000000,0.933268,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,3,2026-08-04T16:02:13.9308752+09:00,2026-08-04T16:02:13.9758752+09:00,59.123244,59.167635,44.391,277,279,0.513971,0.389065,0,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,4,2026-08-04T16:02:14.0868752+09:00,2026-08-04T16:02:14.1198752+09:00,59.278739,59.311975,33.236,286,288,0.878456,0.639624,0,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,5,2026-08-04T16:02:16.4418752+09:00,2026-08-04T16:02:16.5758752+09:00,61.634365,61.767678,133.312,427,435,0.964070,0.808433,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,6,2026-08-04T16:02:20.0878752+09:00,2026-08-04T16:02:20.1868752+09:00,65.279665,65.379376,99.711,646,652,0.910504,0.610459,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,7,2026-08-04T16:02:22.6088752+09:00,2026-08-04T16:02:22.6418752+09:00,67.800911,67.834343,33.432,797,799,0.680140,0.496742,0,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,8,2026-08-04T16:02:24.7748752+09:00,2026-08-04T16:02:24.8528752+09:00,69.967306,70.045119,77.813,927,932,0.853392,0.552590,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,9,2026-08-04T16:02:32.3868752+09:00,2026-08-04T16:02:32.4528752+09:00,77.578955,77.645255,66.300,1384,1388,0.759966,0.634920,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,10,2026-08-04T16:02:32.7418752+09:00,2026-08-04T16:02:32.8078752+09:00,77.933716,78.000402,66.686,1405,1409,0.863450,0.725677,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,11,2026-08-04T16:02:36.2528752+09:00,2026-08-04T16:02:36.3198752+09:00,81.445174,81.511854,66.679,1616,1620,0.663283,0.551422,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,12,2026-08-04T16:02:38.4208752+09:00,2026-08-04T16:02:38.5198752+09:00,83.612761,83.711865,99.104,1746,1752,0.735032,0.617767,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,13,2026-08-04T16:02:38.7858752+09:00,2026-08-04T16:02:38.8188752+09:00,83.978178,84.011488,33.310,1768,1770,0.588470,0.453277,0,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,14,2026-08-04T16:02:40.4088752+09:00,2026-08-04T16:02:40.4758752+09:00,85.600945,85.667652,66.707,1865,1869,0.774908,0.521423,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,15,2026-08-04T16:02:42.1208752+09:00,2026-08-04T16:02:42.1978752+09:00,87.312560,87.390304,77.744,1968,1973,0.778281,0.630426,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,16,2026-08-04T16:02:42.3868752+09:00,2026-08-04T16:02:42.4318752+09:00,87.579476,87.623848,44.372,1984,1987,0.830560,0.635950,0,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,17,2026-08-04T16:02:44.1878752+09:00,2026-08-04T16:02:44.2878752+09:00,89.380427,89.480461,100.034,2092,2098,0.700002,0.496825,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,18,2026-08-04T16:02:44.3878752+09:00,2026-08-04T16:02:44.4658752+09:00,89.580463,89.658357,77.894,2104,2109,0.736586,0.573626,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,19,2026-08-04T16:02:48.2078752+09:00,2026-08-04T16:02:48.3078752+09:00,93.400184,93.500089,99.905,2333,2339,0.899137,0.793520,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,20,2026-08-04T16:02:51.4088752+09:00,2026-08-04T16:02:51.4428752+09:00,96.601185,96.634638,33.452,2525,2527,0.801914,0.552534,0,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,21,2026-08-04T16:02:52.8748752+09:00,2026-08-04T16:02:52.9198752+09:00,98.067053,98.111572,44.519,2613,2616,0.788123,0.598831,0,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,22,2026-08-04T16:02:54.8518752+09:00,2026-08-04T16:02:54.9748752+09:00,100.044284,100.166605,122.320,2732,2739,0.789892,0.496425,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,23,2026-08-04T16:02:56.4188752+09:00,2026-08-04T16:02:56.4748752+09:00,101.611441,101.666887,55.445,2826,2829,0.836129,0.648715,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,24,2026-08-04T16:02:58.7748752+09:00,2026-08-04T16:02:58.8858752+09:00,103.966891,104.078052,111.162,2967,2974,0.719548,0.549367,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,25,2026-08-04T16:03:00.4188752+09:00,2026-08-04T16:03:00.4858752+09:00,105.611192,105.677766,66.574,3066,3070,0.659439,0.549192,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,26,2026-08-04T16:03:00.7188752+09:00,2026-08-04T16:03:00.7748752+09:00,105.910912,105.966504,55.593,3084,3087,0.798531,0.629596,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,27,2026-08-04T16:03:02.9748752+09:00,2026-08-04T16:03:03.0418752+09:00,108.166798,108.233541,66.742,3219,3223,0.736833,0.583773,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,28,2026-08-04T16:03:04.3748752+09:00,2026-08-04T16:03:04.4078752+09:00,109.566795,109.600164,33.369,3303,3305,0.630836,0.482080,0,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,29,2026-08-04T16:03:04.7078752+09:00,2026-08-04T16:03:04.7528752+09:00,109.900150,109.944600,44.450,3323,3326,0.779540,0.451439,0,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,30,2026-08-04T16:03:08.2748752+09:00,2026-08-04T16:03:08.3188752+09:00,113.466596,113.511096,44.500,3537,3540,0.753100,0.584897,0,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,31,2026-08-04T16:03:10.6748752+09:00,2026-08-04T16:03:10.7408752+09:00,115.866722,115.933358,66.636,3681,3685,0.727580,0.593164,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,32,2026-08-04T16:03:14.0078752+09:00,2026-08-04T16:03:14.1078752+09:00,119.199795,119.299811,100.016,3881,3887,0.893953,0.642822,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,33,2026-08-04T16:03:16.1408752+09:00,2026-08-04T16:03:16.2078752+09:00,121.333449,121.400038,66.589,4009,4013,0.957710,0.494269,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,34,2026-08-04T16:03:16.3748752+09:00,2026-08-04T16:03:16.4188752+09:00,121.567024,121.611265,44.241,4023,4026,0.980900,0.748096,0,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,35,2026-08-04T16:03:19.8078752+09:00,2026-08-04T16:03:19.9748752+09:00,124.999917,125.166528,166.611,4229,4239,0.999754,0.702697,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,36,2026-08-04T16:03:20.5188752+09:00,2026-08-04T16:03:20.6408752+09:00,125.711000,125.833241,122.241,4272,4279,0.999612,0.600919,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,37,2026-08-04T16:03:22.0408752+09:00,2026-08-04T16:03:22.1188752+09:00,127.233202,127.311010,77.808,4363,4368,0.847863,0.445062,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,38,2026-08-04T16:03:22.3078752+09:00,2026-08-04T16:03:22.3858752+09:00,127.499976,127.577640,77.663,4379,4384,0.999719,0.797514,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,39,2026-08-04T16:03:24.0518752+09:00,2026-08-04T16:03:24.1408752+09:00,129.244309,129.333161,88.851,4484,4489,0.840657,0.511370,1,0,EyesOpened
20260804_160114_807,1,Unspecified,Blink,40,2026-08-04T16:03:26.2078752+09:00,2026-08-04T16:03:26.3078752+09:00,131.399772,131.499836,100.064,4613,4619,0.999548,0.648088,1,0,EyesOpened
