FrameIndex,Block,Trial,AbsTime,HeadDeltaX,HeadDeltaY,HeadDeltaZ,GazeCorrX,GazeCorrY,IsBlink
0,0,0,2026-06-16 15:33:57.865,0.0000,0.0000,0.0000,0.0295,-0.0198,0
1,0,0,2026-06-16 15:33:57.875,0.0000,0.0000,0.0000,0.0295,-0.0198,0
2,0,0,2026-06-16 15:33:57.897,0.0000,0.0000,-0.0001,0.0295,-0.0198,0
3,0,0,2026-06-16 15:33:57.920,-0.0001,0.0001,-0.0001,0.0295,-0.0198,0
4,0,0,2026-06-16 15:33:57.930,-0.0001,0.0001,-0.0001,0.0296,-0.0198,0
5,0,0,2026-06-16 15:33:57.953,-0.0002,0.0001,-0.0001,0.0296,-0.0198,0
6,0,0,2026-06-16 15:33:57.964,-0.0002,0.0001,-0.0001,0.0296,-0.0198,0
7,0,0,2026-06-16 15:33:57.986,-0.0002,0.0001,-0.0001,0.0296,-0.0198,0
8,0,0,2026-06-16 15:33:57.997,-0.0003,0.0001,-0.0001,0.0296,-0.0198,0
9,0,0,2026-06-16 15:33:58.008,-0.0003,0.0002,-0.0001,0.0296,-0.0198,0
10,0,0,2026-06-16 15:33:58.031,-0.0003,0.0001,0.0000,0.0296,-0.0199,0
11,0,0,2026-06-16 15:33:58.042,-0.0003,0.0001,0.0000,0.0296,-0.0199,0
12,0,0,2026-06-16 15:33:58.065,-0.0002,0.0001,0.0000,0.0296,-0.0199,0
13,0,0,2026-06-16 15:33:58.086,-0.0003,0.0000,0.0000,0.0296,-0.0198,0
14,0,0,2026-06-16 15:33:58.097,-0.0003,0.0000,0.0001,0.0296,-0.0198,0
15,0,0,2026-06-16 15:33:58.119,-0.0002,-0.0001,0.0001,0.0296,-0.0199,0
16,0,0,2026-06-16 15:33:58.130,-0.0002,-0.0001,0.0001,0.0296,-0.0199,0
17,0,0,2026-06-16 15:33:58.153,-0.0001,-0.0002,0.0001,0.0296,-0.0199,0
18,0,0,2026-06-16 15:33:58.164,-0.0001,-0.0002,0.0001,0.0296,-0.0199,0
19,0,0,2026-06-16 15:33:58.187,0.0000,-0.0002,0.0001,0.0296,-0.0198,0
20,0,0,2026-06-16 15:33:58.198,0.0000,-0.0002,0.0001,0.0296,-0.0198,0
21,0,0,2026-06-16 15:33:58.220,0.0000,-0.0002,0.0002,0.0296,-0.0198,0
22,0,0,2026-06-16 15:33:58.230,0.0000,-0.0003,0.0002,0.0296,-0.0199,0
23,0,0,2026-06-16 15:33:58.254,-0.0001,-0.0003,0.0002,0.0296,-0.0199,0
24,0,0,2026-06-16 15:33:58.265,-0.0001,-0.0003,0.0002,0.0296,-0.0199,0
25,0,0,2026-06-16 15:33:58.287,-0.0001,-0.0003,0.0002,0.0296,-0.0199,0
26,0,0,2026-06-16 15:33:58.297,-0.0002,-0.0004,0.0002,0.0297,-0.0199,0
27,0,0,2026-06-16 15:33:58.320,-0.0002,-0.0004,0.0002,0.0297,-0.0199,0
28,0,0,2026-06-16 15:33:58.331,-0.0003,-0.0005,0.0002,0.0297,-0.0199,0
29,0,0,2026-06-16 15:33:58.353,-0.0004,-0.0005,0.0002,0.0298,-0.0200,0
30,0,0,2026-06-16 15:33:58.365,-0.0004,-0.0005,0.0002,0.0298,-0.0200,0
31,0,0,2026-06-16 15:33:58.387,-0.0005,-0.0006,0.0002,0.0298,-0.0200,0
32,0,0,2026-06-16 15:33:58.397,-0.0005,-0.0006,0.0002,0.0298,-0.0200,0
33,0,0,2026-06-16 15:33:58.420,-0.0006,-0.0006,0.0001,0.0298,-0.0200,0
34,0,0,2026-06-16 15:33:58.431,-0.0006,-0.0006,0.0001,0.0298,-0.0200,0
