SessionId,RecordingId,Condition,WindowIndex,WindowStartAbsTime,WindowEndAbsTime,WindowStartElapsedSec,WindowEndElapsedSec,SampleCount,ValidSampleCount,MeanGazeX,MeanGazeY,VarianceGazeX,VarianceGazeY,CovarianceXY,Dispersion,TrackingFailureCount
20260803_201248_689,1,Unspecified,0,2026-08-03T20:13:25.7527956+09:00,2026-08-03T20:13:26.2527956+09:00,37.063021,37.563021,30,30,-1.132645,0.078007,0.000860,0.002978,0.001558,0.061956,0
20260803_201248_689,1,Unspecified,1,2026-08-03T20:13:26.2527956+09:00,2026-08-03T20:13:26.7527956+09:00,37.563021,38.063021,30,30,-1.080423,0.124410,0.000344,0.001082,0.000088,0.037763,0
20260803_201248_689,1,Unspecified,2,2026-08-03T20:13:26.7527956+09:00,2026-08-03T20:13:27.2527956+09:00,38.063021,38.563021,30,30,-1.086477,0.091613,0.000135,0.000760,0.000304,0.029914,0
20260803_201248_689,1,Unspecified,3,2026-08-03T20:13:27.2527956+09:00,2026-08-03T20:13:27.7527956+09:00,38.563021,39.063021,30,30,-1.080238,0.117838,0.000346,0.000330,0.000287,0.026012,0
20260803_201248_689,1,Unspecified,4,2026-08-03T20:13:27.7527956+09:00,2026-08-03T20:13:28.2527956+09:00,39.063021,39.563021,30,30,-1.071114,0.106452,0.000220,0.000264,0.000230,0.022004,0
20260803_201248_689,1,Unspecified,5,2026-08-03T20:13:28.2527956+09:00,2026-08-03T20:13:28.7527956+09:00,39.563021,40.063021,30,30,-1.036070,0.115102,0.000139,0.000173,0.000138,0.017670,0
20260803_201248_689,1,Unspecified,6,2026-08-03T20:13:28.7527956+09:00,2026-08-03T20:13:29.2527956+09:00,40.063021,40.563021,30,30,-1.022602,0.155758,0.003578,0.001513,0.002013,0.071349,0
20260803_201248_689,1,Unspecified,7,2026-08-03T20:13:29.2527956+09:00,2026-08-03T20:13:29.7527956+09:00,40.563021,41.063021,30,30,-0.795128,0.217841,0.015453,0.001008,0.003553,0.128301,0
20260803_201248_689,1,Unspecified,8,2026-08-03T20:13:29.7527956+09:00,2026-08-03T20:13:30.2527956+09:00,41.063021,41.563021,30,30,-1.063320,0.115534,0.000433,0.000246,0.000326,0.026059,0
20260803_201248_689,1,Unspecified,9,2026-08-03T20:13:30.2527956+09:00,2026-08-03T20:13:30.7527956+09:00,41.563021,42.063021,30,30,-1.099766,0.074750,0.000011,0.000037,0.000018,0.006921,0
