SessionId,RecordingId,Condition,EventType,EventId,StartAbsTime,EndAbsTime,StartElapsedSec,EndElapsedSec,DurationMs,StartSampleIndex,EndSampleIndex,MaxClosure,MeanClosure,IsAccepted,TrackingInterrupted,EndReason
20260810_165313_016,1,Unspecified,Blink,1,2026-08-10T16:54:06.7515022+09:00,2026-08-10T16:54:06.9315022+09:00,53.734524,53.915487,180.964,40,51,0.878412,0.737090,1,0,EyesOpened
20260810_165313_016,1,Unspecified,Blink,2,2026-08-10T16:54:09.7305022+09:00,2026-08-10T16:54:09.7585022+09:00,56.714340,56.742109,27.769,219,221,0.734429,0.549950,0,0,EyesOpened
20260810_165313_016,1,Unspecified,Blink,3,2026-08-10T16:54:12.2925022+09:00,2026-08-10T16:54:12.3755022+09:00,59.275833,59.359241,83.408,373,378,0.784408,0.390222,1,0,EyesOpened
20260810_165313_016,1,Unspecified,Blink,4,2026-08-10T16:54:13.5315022+09:00,2026-08-10T16:54:13.7685022+09:00,60.515112,60.751835,236.723,447,461,0.965473,0.748151,1,0,EyesOpened
20260810_165313_016,1,Unspecified,Blink,5,2026-08-10T16:54:13.9495022+09:00,2026-08-10T16:54:13.9915022+09:00,60.932825,60.974709,41.884,472,475,0.854945,0.641450,0,0,EyesOpened
20260810_165313_016,1,Unspecified,Blink,6,2026-08-10T16:54:15.5645022+09:00,2026-08-10T16:54:15.6335022+09:00,62.547873,62.617436,69.563,569,573,0.828497,0.556327,1,0,EyesOpened
20260810_165313_016,1,Unspecified,Blink,7,2026-08-10T16:54:15.7595022+09:00,2026-08-10T16:54:16.0245022+09:00,62.742745,63.007583,264.839,581,597,0.925440,0.732641,1,0,EyesOpened
20260810_165313_016,1,Unspecified,Blink,8,2026-08-10T16:54:17.6245022+09:00,2026-08-10T16:54:17.7085022+09:00,64.608477,64.691672,83.195,693,698,0.824757,0.580962,1,0,EyesOpened
20260810_165313_016,1,Unspecified,Blink,9,2026-08-10T16:54:17.7775022+09:00,2026-08-10T16:54:17.9165022+09:00,64.761116,64.900367,139.250,702,710,0.915848,0.729597,1,0,EyesOpened
20260810_165313_016,1,Unspecified,Blink,10,2026-08-10T16:54:18.1815022+09:00,2026-08-10T16:54:18.2655022+09:00,65.165084,65.248704,83.620,726,731,0.819156,0.583363,1,0,EyesOpened
