SessionId,RecordingId,Condition,WindowIndex,WindowStartAbsTime,WindowEndAbsTime,WindowStartElapsedSec,WindowEndElapsedSec,SampleCount,ValidSampleCount,MeanGazeX,MeanGazeY,VarianceGazeX,VarianceGazeY,CovarianceXY,Dispersion,TrackingFailureCount
20260821_122825_850,1,Unspecified,0,2026-08-21T12:28:34.0010242+09:00,2026-08-21T12:28:34.5010242+09:00,8.151264,8.651264,30,30,-0.040227,0.015167,0.000193,0.000099,0.000025,0.017077,0
20260821_122825_850,1,Unspecified,1,2026-08-21T12:28:34.5010242+09:00,2026-08-21T12:28:35.0010242+09:00,8.651264,9.151264,30,30,-0.032023,0.011243,0.000254,0.000117,0.000094,0.019276,0
20260821_122825_850,1,Unspecified,2,2026-08-21T12:28:35.0010242+09:00,2026-08-21T12:28:35.5010242+09:00,9.151264,9.651264,30,30,-0.041320,0.004047,0.000124,0.000405,0.000188,0.022990,0
20260821_122825_850,1,Unspecified,3,2026-08-21T12:28:35.5010242+09:00,2026-08-21T12:28:36.0010242+09:00,9.651264,10.151264,30,30,-0.060033,-0.009905,0.000023,0.000007,-0.000010,0.005441,0
20260821_122825_850,1,Unspecified,4,2026-08-21T12:28:36.0010242+09:00,2026-08-21T12:28:36.5010242+09:00,10.151264,10.651264,30,30,-0.055661,-0.003595,0.000084,0.000062,0.000064,0.012093,0
20260821_122825_850,1,Unspecified,5,2026-08-21T12:28:36.5010242+09:00,2026-08-21T12:28:37.0010242+09:00,10.651264,11.151264,30,30,-0.023053,0.014057,0.000187,0.000004,0.000011,0.013846,0
20260821_122825_850,1,Unspecified,6,2026-08-21T12:28:37.0010242+09:00,2026-08-21T12:28:37.5010242+09:00,11.151264,11.651264,30,30,-0.011581,0.016659,0.000004,0.000004,0.000003,0.002804,0
20260821_122825_850,1,Unspecified,7,2026-08-21T12:28:37.5010242+09:00,2026-08-21T12:28:38.0010242+09:00,11.651264,12.151264,30,30,-0.016802,0.014677,0.000005,0.000003,-0.000001,0.002712,0
20260821_122825_850,1,Unspecified,8,2026-08-21T12:28:38.0010242+09:00,2026-08-21T12:28:38.5010242+09:00,12.151264,12.651264,30,30,-0.017189,0.016532,0.000033,0.000009,-0.000010,0.006480,0
20260821_122825_850,1,Unspecified,9,2026-08-21T12:28:38.5010242+09:00,2026-08-21T12:28:39.0010242+09:00,12.651264,13.151264,30,30,-0.021165,0.021648,0.000018,0.000040,-0.000013,0.007629,0
20260821_122825_850,1,Unspecified,10,2026-08-21T12:28:39.0010242+09:00,2026-08-21T12:28:39.5010242+09:00,13.151264,13.651264,30,30,-0.018807,0.020913,0.000004,0.000004,-0.000001,0.002832,0
20260821_122825_850,1,Unspecified,11,2026-08-21T12:28:39.5010242+09:00,2026-08-21T12:28:40.0010242+09:00,13.651264,14.151264,30,30,-0.017061,0.018529,0.000011,0.000003,-0.000004,0.003666,0
20260821_122825_850,1,Unspecified,12,2026-08-21T12:28:40.0010242+09:00,2026-08-21T12:28:40.5010242+09:00,14.151264,14.651264,30,30,-0.014776,0.019722,0.000002,0.000001,0.000000,0.001927,0
20260821_122825_850,1,Unspecified,13,2026-08-21T12:28:40.5010242+09:00,2026-08-21T12:28:41.0010242+09:00,14.651264,15.151264,30,30,-0.012131,0.021870,0.000010,0.000023,-0.000001,0.005769,0
20260821_122825_850,1,Unspecified,14,2026-08-21T12:28:41.0010242+09:00,2026-08-21T12:28:41.5010242+09:00,15.151264,15.651264,30,30,-0.014541,0.023865,0.000018,0.000012,-0.000009,0.005451,0
20260821_122825_850,1,Unspecified,15,2026-08-21T12:28:41.5010242+09:00,2026-08-21T12:28:42.0010242+09:00,15.651264,16.151264,30,30,-0.017609,0.025622,0.000008,0.000006,-0.000005,0.003744,0
20260821_122825_850,1,Unspecified,16,2026-08-21T12:28:42.0010242+09:00,2026-08-21T12:28:42.5010242+09:00,16.151264,16.651264,30,30,-0.019635,0.021222,0.000011,0.000010,-0.000009,0.004629,0
20260821_122825_850,1,Unspecified,17,2026-08-21T12:28:42.5010242+09:00,2026-08-21T12:28:43.0010242+09:00,16.651264,17.151264,30,30,-0.015179,0.017969,0.000001,0.000005,0.000001,0.002414,0
20260821_122825_850,1,Unspecified,18,2026-08-21T12:28:43.0010242+09:00,2026-08-21T12:28:43.5010242+09:00,17.151264,17.651264,30,30,-0.028627,0.033278,0.000030,0.000029,-0.000020,0.007707,0
20260821_122825_850,1,Unspecified,19,2026-08-21T12:28:43.5010242+09:00,2026-08-21T12:28:44.0010242+09:00,17.651264,18.151264,30,30,-0.050399,0.035367,0.000001,0.000002,0.000000,0.001822,0
20260821_122825_850,1,Unspecified,20,2026-08-21T12:28:44.0010242+09:00,2026-08-21T12:28:44.5010242+09:00,18.151264,18.651264,30,30,-0.035798,0.032665,0.000276,0.000020,-0.000073,0.017217,0
20260821_122825_850,1,Unspecified,21,2026-08-21T12:28:44.5010242+09:00,2026-08-21T12:28:45.0010242+09:00,18.651264,19.151264,30,30,-0.020112,0.029525,0.000019,0.000029,-0.000014,0.006921,0
20260821_122825_850,1,Unspecified,22,2026-08-21T12:28:45.0010242+09:00,2026-08-21T12:28:45.5010242+09:00,19.151264,19.651264,30,30,-0.032744,0.028951,0.000296,0.000030,-0.000003,0.018068,0
20260821_122825_850,1,Unspecified,23,2026-08-21T12:28:45.5010242+09:00,2026-08-21T12:28:46.0010242+09:00,19.651264,20.151264,30,30,-0.027170,0.029665,0.000061,0.000028,-0.000038,0.009420,0
20260821_122825_850,1,Unspecified,24,2026-08-21T12:28:46.0010242+09:00,2026-08-21T12:28:46.5010242+09:00,20.151264,20.651264,30,30,-0.020425,0.026666,0.000001,0.000002,-0.000001,0.001869,0
20260821_122825_850,1,Unspecified,25,2026-08-21T12:28:46.5010242+09:00,2026-08-21T12:28:47.0010242+09:00,20.651264,21.151264,30,30,-0.021985,0.031808,0.000007,0.000069,-0.000011,0.008701,0
20260821_122825_850,1,Unspecified,26,2026-08-21T12:28:47.0010242+09:00,2026-08-21T12:28:47.5010242+09:00,21.151264,21.651264,30,30,-0.047223,0.035713,0.000456,0.000043,-0.000113,0.022340,0
20260821_122825_850,1,Unspecified,27,2026-08-21T12:28:47.5010242+09:00,2026-08-21T12:28:48.0010242+09:00,21.651264,22.151264,30,30,-0.087857,0.041941,0.000002,0.000003,0.000000,0.002144,0
20260821_122825_850,1,Unspecified,28,2026-08-21T12:28:48.0010242+09:00,2026-08-21T12:28:48.5010242+09:00,22.151264,22.651264,30,30,-0.078485,0.039550,0.000054,0.000002,0.000006,0.007467,0
20260821_122825_850,1,Unspecified,29,2026-08-21T12:28:48.5010242+09:00,2026-08-21T12:28:49.0010242+09:00,22.651264,23.151264,30,30,-0.072927,0.050013,0.000046,0.000172,0.000020,0.014759,0
20260821_122825_850,1,Unspecified,30,2026-08-21T12:28:49.0010242+09:00,2026-08-21T12:28:49.5010242+09:00,23.151264,23.651264,30,30,-0.062781,0.075288,0.000059,0.000031,-0.000007,0.009497,0
20260821_122825_850,1,Unspecified,31,2026-08-21T12:28:49.5010242+09:00,2026-08-21T12:28:50.0010242+09:00,23.651264,24.151264,30,30,-0.076939,0.069230,0.000278,0.000131,-0.000190,0.020238,0
20260821_122825_850,1,Unspecified,32,2026-08-21T12:28:50.0010242+09:00,2026-08-21T12:28:50.5010242+09:00,24.151264,24.651264,30,30,-0.034714,0.040333,0.000059,0.000035,-0.000043,0.009660,0
20260821_122825_850,1,Unspecified,33,2026-08-21T12:28:50.5010242+09:00,2026-08-21T12:28:51.0010242+09:00,24.651264,25.151264,30,30,-0.027835,0.040568,0.000009,0.000025,-0.000001,0.005799,0
20260821_122825_850,1,Unspecified,34,2026-08-21T12:28:51.0010242+09:00,2026-08-21T12:28:51.5010242+09:00,25.151264,25.651264,30,30,-0.030181,0.042804,0.000096,0.000036,-0.000027,0.011456,0
20260821_122825_850,1,Unspecified,35,2026-08-21T12:28:51.5010242+09:00,2026-08-21T12:28:52.0010242+09:00,25.651264,26.151264,30,30,-0.052793,0.048547,0.000002,0.000001,0.000001,0.001894,0
20260821_122825_850,1,Unspecified,36,2026-08-21T12:28:52.0010242+09:00,2026-08-21T12:28:52.5010242+09:00,26.151264,26.651264,30,30,-0.046576,0.046365,0.000041,0.000005,-0.000012,0.006794,0
20260821_122825_850,1,Unspecified,37,2026-08-21T12:28:52.5010242+09:00,2026-08-21T12:28:53.0010242+09:00,26.651264,27.151264,30,30,-0.040582,0.044468,0.000063,0.000052,-0.000029,0.010738,0
20260821_122825_850,1,Unspecified,38,2026-08-21T12:28:53.0010242+09:00,2026-08-21T12:28:53.5010242+09:00,27.151264,27.651264,30,30,-0.038770,0.045044,0.000003,0.000005,0.000002,0.002876,0
20260821_122825_850,1,Unspecified,39,2026-08-21T12:28:53.5010242+09:00,2026-08-21T12:28:54.0010242+09:00,27.651264,28.151264,30,30,-0.035478,0.043865,0.000037,0.000042,-0.000037,0.008864,0
20260821_122825_850,1,Unspecified,40,2026-08-21T12:28:54.0010242+09:00,2026-08-21T12:28:54.5010242+09:00,28.151264,28.651264,30,30,-0.023151,0.030108,0.000015,0.000011,-0.000012,0.005025,0
20260821_122825_850,1,Unspecified,41,2026-08-21T12:28:54.5010242+09:00,2026-08-21T12:28:55.0010242+09:00,28.651264,29.151264,30,30,-0.022329,0.030354,0.000035,0.000051,-0.000030,0.009261,0
20260821_122825_850,1,Unspecified,42,2026-08-21T12:28:55.0010242+09:00,2026-08-21T12:28:55.5010242+09:00,29.151264,29.651264,30,30,-0.043035,0.024995,0.000617,0.000334,0.000345,0.030842,0
20260821_122825_850,1,Unspecified,43,2026-08-21T12:28:55.5010242+09:00,2026-08-21T12:28:56.0010242+09:00,29.651264,30.151264,30,30,-0.023368,0.027207,0.000013,0.000140,0.000029,0.012378,0
20260821_122825_850,1,Unspecified,44,2026-08-21T12:28:56.0010242+09:00,2026-08-21T12:28:56.5010242+09:00,30.151264,30.651264,30,30,-0.023869,0.025860,0.000007,0.000002,0.000000,0.002960,0
20260821_122825_850,1,Unspecified,45,2026-08-21T12:28:56.5010242+09:00,2026-08-21T12:28:57.0010242+09:00,30.651264,31.151264,30,30,-0.020260,0.027968,0.000011,0.000041,-0.000010,0.007164,0
20260821_122825_850,1,Unspecified,46,2026-08-21T12:28:57.0010242+09:00,2026-08-21T12:28:57.5010242+09:00,31.151264,31.651264,30,30,-0.025157,0.032512,0.000030,0.000049,-0.000032,0.008868,0
20260821_122825_850,1,Unspecified,47,2026-08-21T12:28:57.5010242+09:00,2026-08-21T12:28:58.0010242+09:00,31.651264,32.151264,30,30,-0.027125,0.029351,0.000001,0.000005,0.000000,0.002533,0
20260821_122825_850,1,Unspecified,48,2026-08-21T12:28:58.0010242+09:00,2026-08-21T12:28:58.5010242+09:00,32.151264,32.651264,30,30,-0.024019,0.026226,0.000007,0.000012,-0.000008,0.004393,0
20260821_122825_850,1,Unspecified,49,2026-08-21T12:28:58.5010242+09:00,2026-08-21T12:28:59.0010242+09:00,32.651264,33.151264,30,30,-0.020572,0.023667,0.000003,0.000004,0.000000,0.002563,0
20260821_122825_850,1,Unspecified,50,2026-08-21T12:28:59.0010242+09:00,2026-08-21T12:28:59.5010242+09:00,33.151264,33.651264,30,30,-0.024678,0.035964,0.000016,0.000046,-0.000011,0.007841,0
20260821_122825_850,1,Unspecified,51,2026-08-21T12:28:59.5010242+09:00,2026-08-21T12:29:00.0010242+09:00,33.651264,34.151264,30,30,-0.028963,0.033361,0.000004,0.000003,-0.000001,0.002633,0
20260821_122825_850,1,Unspecified,52,2026-08-21T12:29:00.0010242+09:00,2026-08-21T12:29:00.5010242+09:00,34.151264,34.651264,30,30,-0.022702,0.029536,0.000017,0.000002,-0.000004,0.004383,0
20260821_122825_850,1,Unspecified,53,2026-08-21T12:29:00.5010242+09:00,2026-08-21T12:29:01.0010242+09:00,34.651264,35.151264,30,30,-0.022967,0.037890,0.000023,0.000097,-0.000036,0.010982,0
20260821_122825_850,1,Unspecified,54,2026-08-21T12:29:01.0010242+09:00,2026-08-21T12:29:01.5010242+09:00,35.151264,35.651264,30,30,-0.033416,0.038240,0.000233,0.000107,0.000074,0.018444,0
20260821_122825_850,1,Unspecified,55,2026-08-21T12:29:01.5010242+09:00,2026-08-21T12:29:02.0010242+09:00,35.651264,36.151264,30,30,-0.019632,0.024716,0.000002,0.000006,0.000002,0.002867,0
20260821_122825_850,1,Unspecified,56,2026-08-21T12:29:02.0010242+09:00,2026-08-21T12:29:02.5010242+09:00,36.151264,36.651264,30,30,-0.022954,0.028445,0.000003,0.000002,0.000000,0.002230,0
20260821_122825_850,1,Unspecified,57,2026-08-21T12:29:02.5010242+09:00,2026-08-21T12:29:03.0010242+09:00,36.651264,37.151264,30,30,-0.024994,0.031702,0.000020,0.000011,-0.000012,0.005518,0
20260821_122825_850,1,Unspecified,58,2026-08-21T12:29:03.0010242+09:00,2026-08-21T12:29:03.5010242+09:00,37.151264,37.651264,30,30,-0.032615,0.038603,0.000001,0.000005,-0.000001,0.002302,0
20260821_122825_850,1,Unspecified,59,2026-08-21T12:29:03.5010242+09:00,2026-08-21T12:29:04.0010242+09:00,37.651264,38.151264,30,30,-0.029243,0.045455,0.000021,0.000077,0.000001,0.009917,0
20260821_122825_850,1,Unspecified,60,2026-08-21T12:29:04.0010242+09:00,2026-08-21T12:29:04.5010242+09:00,38.151264,38.651264,30,30,-0.023041,0.040691,0.000003,0.000002,0.000000,0.002251,0
20260821_122825_850,1,Unspecified,61,2026-08-21T12:29:04.5010242+09:00,2026-08-21T12:29:05.0010242+09:00,38.651264,39.151264,30,30,-0.025810,0.043412,0.000020,0.000063,0.000003,0.009114,0
20260821_122825_850,1,Unspecified,62,2026-08-21T12:29:05.0010242+09:00,2026-08-21T12:29:05.5010242+09:00,39.151264,39.651264,30,30,-0.031124,0.046962,0.000263,0.000124,0.000078,0.019689,0
20260821_122825_850,1,Unspecified,63,2026-08-21T12:29:05.5010242+09:00,2026-08-21T12:29:06.0010242+09:00,39.651264,40.151264,30,30,-0.027584,0.053445,0.000002,0.000003,0.000002,0.002302,0
20260821_122825_850,1,Unspecified,64,2026-08-21T12:29:06.0010242+09:00,2026-08-21T12:29:06.5010242+09:00,40.151264,40.651264,30,30,-0.029843,0.052922,0.000009,0.000004,0.000004,0.003591,0
20260821_122825_850,1,Unspecified,65,2026-08-21T12:29:06.5010242+09:00,2026-08-21T12:29:07.0010242+09:00,40.651264,41.151264,30,30,-0.034678,0.069435,0.000016,0.000343,-0.000047,0.018946,0
20260821_122825_850,1,Unspecified,66,2026-08-21T12:29:07.0010242+09:00,2026-08-21T12:29:07.5010242+09:00,41.151264,41.651264,30,30,-0.040065,0.078311,0.000066,0.000076,0.000034,0.011934,0
20260821_122825_850,1,Unspecified,67,2026-08-21T12:29:07.5010242+09:00,2026-08-21T12:29:08.0010242+09:00,41.651264,42.151264,30,30,-0.043704,0.070093,0.000002,0.000003,0.000000,0.002144,0
20260821_122825_850,1,Unspecified,68,2026-08-21T12:29:08.0010242+09:00,2026-08-21T12:29:08.5010242+09:00,42.151264,42.651264,30,30,-0.034064,0.044115,0.000087,0.000471,-0.000200,0.023616,0
20260821_122825_850,1,Unspecified,69,2026-08-21T12:29:08.5010242+09:00,2026-08-21T12:29:09.0010242+09:00,42.651264,43.151264,30,30,-0.022509,0.032515,0.000006,0.000064,-0.000005,0.008365,0
