FrameIndex,Block,Trial,AbsTime,HeadDeltaX,HeadDeltaY,HeadDeltaZ,GazeCorrX,GazeCorrY,IsBlink
0,0,0,2026-06-17 15:37:59.978,0.0001,0.0000,-0.0001,0.0192,-0.0090,0
1,0,0,2026-06-17 15:37:59.988,0.0002,0.0000,-0.0002,0.0192,-0.0090,0
2,0,0,2026-06-17 15:38:00.011,0.0004,0.0001,-0.0005,0.0194,-0.0082,0
3,0,0,2026-06-17 15:38:00.033,0.0006,0.0001,-0.0009,0.0173,-0.0079,0
4,0,0,2026-06-17 15:38:00.044,0.0007,0.0001,-0.0010,0.0200,-0.0081,0
5,0,0,2026-06-17 15:38:00.066,0.0010,0.0001,-0.0012,0.0171,-0.0055,0
6,0,0,2026-06-17 15:38:00.077,0.0011,0.0002,-0.0014,0.0197,-0.0057,0
7,0,0,2026-06-17 15:38:00.099,0.0015,0.0005,-0.0017,0.0193,-0.0060,0
8,0,0,2026-06-17 15:38:00.111,0.0017,0.0006,-0.0018,0.0184,-0.0065,0
9,0,0,2026-06-17 15:38:00.132,0.0022,0.0009,-0.0021,0.0184,-0.0066,0
10,0,0,2026-06-17 15:38:00.143,0.0024,0.0010,-0.0022,0.0182,-0.0074,0
11,0,0,2026-06-17 15:38:00.166,0.0026,0.0012,-0.0023,0.0166,-0.0073,0
12,0,0,2026-06-17 15:38:00.178,0.0030,0.0014,-0.0025,0.0166,-0.0074,0
13,0,0,2026-06-17 15:38:00.188,0.0032,0.0017,-0.0026,0.0167,-0.0074,0
14,0,0,2026-06-17 15:38:00.209,0.0034,0.0020,-0.0027,0.0154,-0.0055,0
15,0,0,2026-06-17 15:38:00.232,0.0035,0.0023,-0.0028,0.0141,-0.0099,0
16,0,0,2026-06-17 15:38:00.244,0.0035,0.0024,-0.0029,0.0142,-0.0099,0
17,0,0,2026-06-17 15:38:00.267,0.0037,0.0027,-0.0029,0.0141,-0.0149,0
18,0,0,2026-06-17 15:38:00.277,0.0036,0.0028,-0.0029,0.0141,-0.0149,0
19,0,0,2026-06-17 15:38:00.300,0.0034,0.0031,-0.0029,0.0076,-0.0156,0
20,0,0,2026-06-17 15:38:00.311,0.0032,0.0033,-0.0029,0.0077,-0.0134,0
21,0,0,2026-06-17 15:38:00.332,0.0031,0.0035,-0.0030,0.0048,-0.0068,0
22,0,0,2026-06-17 15:38:00.344,0.0026,0.0036,-0.0029,0.0121,-0.0070,0
23,0,0,2026-06-17 15:38:00.355,0.0022,0.0036,-0.0027,0.0123,-0.0067,0
24,0,0,2026-06-17 15:38:00.378,0.0012,0.0039,-0.0022,0.0056,-0.0281,0
25,0,0,2026-06-17 15:38:00.389,0.0009,0.0040,-0.0022,0.0057,-0.0282,0
26,0,0,2026-06-17 15:38:00.410,0.0003,0.0041,-0.0022,-0.0020,-0.0352,0
27,0,0,2026-06-17 15:38:00.421,0.0000,0.0041,-0.0022,-0.0012,-0.0342,0
28,0,0,2026-06-17 15:38:00.444,-0.0007,0.0038,-0.0025,-0.0020,-0.0331,0
29,0,0,2026-06-17 15:38:00.454,-0.0011,0.0037,-0.0027,-0.0021,-0.0331,0
30,0,0,2026-06-17 15:38:00.478,-0.0016,0.0034,-0.0034,-0.0008,-0.0298,0
31,0,0,2026-06-17 15:38:00.488,-0.0018,0.0033,-0.0036,-0.0008,-0.0298,0
32,0,0,2026-06-17 15:38:00.510,-0.0022,0.0033,-0.0047,0.0002,-0.0298,0
33,0,0,2026-06-17 15:38:00.532,-0.0027,0.0033,-0.0056,-0.0034,-0.0275,0
34,0,0,2026-06-17 15:38:00.543,-0.0027,0.0036,-0.0061,-0.0016,-0.0290,0
35,0,0,2026-06-17 15:38:00.566,-0.0029,0.0041,-0.0071,-0.0024,-0.0274,0
36,0,0,2026-06-17 15:38:00.577,-0.0031,0.0042,-0.0077,-0.0024,-0.0275,0
37,0,0,2026-06-17 15:38:00.599,-0.0033,0.0047,-0.0087,-0.0046,-0.0275,0
38,0,0,2026-06-17 15:38:00.609,-0.0034,0.0049,-0.0091,-0.0054,-0.0289,0
39,0,0,2026-06-17 15:38:00.632,-0.0035,0.0053,-0.0098,-0.0048,-0.0308,0
40,0,0,2026-06-17 15:38:00.643,-0.0036,0.0055,-0.0103,-0.0046,-0.0308,0
41,0,0,2026-06-17 15:38:00.666,-0.0039,0.0059,-0.0106,-0.0073,-0.0293,0
42,0,0,2026-06-17 15:38:00.677,-0.0039,0.0063,-0.0105,-0.0069,-0.0292,0
43,0,0,2026-06-17 15:38:00.688,-0.0040,0.0065,-0.0107,-0.0066,-0.0291,0
44,0,0,2026-06-17 15:38:00.709,-0.0041,0.0070,-0.0105,-0.0039,-0.0330,0
45,0,0,2026-06-17 15:38:00.733,-0.0044,0.0070,-0.0106,-0.0049,-0.0339,0
46,0,0,2026-06-17 15:38:00.744,-0.0045,0.0072,-0.0108,-0.0048,-0.0339,0
47,0,0,2026-06-17 15:38:00.767,-0.0050,0.0070,-0.0106,-0.0091,-0.0378,0
48,0,0,2026-06-17 15:38:00.777,-0.0052,0.0070,-0.0106,-0.0107,-0.0387,0
49,0,0,2026-06-17 15:38:00.788,-0.0054,0.0070,-0.0106,-0.0105,-0.0387,0
50,0,0,2026-06-17 15:38:00.809,-0.0060,0.0053,-0.0108,-0.0129,-0.0404,0
51,0,0,2026-06-17 15:38:00.832,-0.0065,0.0044,-0.0111,-0.0131,-0.0401,0
52,0,0,2026-06-17 15:38:00.843,-0.0067,0.0039,-0.0113,-0.0131,-0.0399,0
53,0,0,2026-06-17 15:38:00.854,-0.0069,0.0036,-0.0115,-0.0129,-0.0397,0
54,0,0,2026-06-17 15:38:00.877,-0.0077,0.0030,-0.0125,-0.0184,-0.0389,0
55,0,0,2026-06-17 15:38:00.899,-0.0087,0.0026,-0.0137,-0.1289,-0.1651,0
56,0,0,2026-06-17 15:38:00.911,-0.0091,0.0025,-0.0141,-0.1661,-0.2312,0
57,0,0,2026-06-17 15:38:00.933,-0.0097,0.0036,-0.0149,-0.1668,-0.2319,0
58,0,0,2026-06-17 15:38:00.944,-0.0100,0.0043,-0.0151,-0.2213,-0.3052,0
59,0,0,2026-06-17 15:38:00.966,-0.0107,0.0055,-0.0157,-0.2212,-0.3052,0
60,0,0,2026-06-17 15:38:00.978,-0.0111,0.0059,-0.0161,-0.2212,-0.3054,1
61,0,0,2026-06-17 15:38:00.988,-0.0115,0.0060,-0.0165,-0.2359,-0.3288,1
62,0,0,2026-06-17 15:38:01.009,-0.0122,0.0065,-0.0171,-0.2395,-0.3395,1
63,0,0,2026-06-17 15:38:01.032,-0.0129,0.0069,-0.0176,-0.2387,-0.3392,1
64,0,0,2026-06-17 15:38:01.044,-0.0133,0.0069,-0.0178,-0.2256,-0.3390,1
65,0,0,2026-06-17 15:38:01.055,-0.0136,0.0068,-0.0178,-0.2195,-0.3397,1
66,0,0,2026-06-17 15:38:01.077,-0.0143,0.0068,-0.0181,-0.2168,-0.3398,1
67,0,0,2026-06-17 15:38:01.099,-0.0150,0.0068,-0.0181,-0.2155,-0.3361,1
68,0,0,2026-06-17 15:38:01.110,-0.0153,0.0068,-0.0182,-0.2089,-0.3358,1
69,0,1,2026-06-17 15:38:01.132,-0.0161,0.0067,-0.0183,-0.2086,-0.3362,1
70,0,1,2026-06-17 15:38:01.144,-0.0165,0.0064,-0.0182,-0.2153,-0.3430,1
71,0,1,2026-06-17 15:38:01.155,-0.0169,0.0062,-0.0183,-0.2152,-0.3432,1
72,0,1,2026-06-17 15:38:01.177,-0.0179,0.0062,-0.0183,-0.2135,-0.3481,1
73,0,1,2026-06-17 15:38:01.189,-0.0184,0.0062,-0.0183,-0.2126,-0.3464,1
74,0,1,2026-06-17 15:38:01.211,-0.0195,0.0063,-0.0183,-0.2085,-0.3468,1
75,0,1,2026-06-17 15:38:01.232,-0.0205,0.0062,-0.0183,-0.2081,-0.3472,1
76,0,1,2026-06-17 15:38:01.244,-0.0211,0.0062,-0.0184,-0.2016,-0.3483,1
77,0,1,2026-06-17 15:38:01.267,-0.0225,0.0062,-0.0186,-0.1954,-0.3453,1
78,0,1,2026-06-17 15:38:01.278,-0.0231,0.0062,-0.0186,-0.1951,-0.3455,1
79,0,1,2026-06-17 15:38:01.288,-0.0238,0.0063,-0.0186,-0.2236,-0.3364,1
80,0,1,2026-06-17 15:38:01.311,-0.0251,0.0065,-0.0187,-0.2600,-0.3271,1
81,0,1,2026-06-17 15:38:01.332,-0.0265,0.0065,-0.0189,-0.2600,-0.3297,1
82,0,1,2026-06-17 15:38:01.344,-0.0271,0.0066,-0.0190,-0.2595,-0.3299,1
83,0,1,2026-06-17 15:38:01.355,-0.0278,0.0066,-0.0190,-0.2591,-0.3302,1
84,0,1,2026-06-17 15:38:01.377,-0.0292,0.0066,-0.0193,-0.2467,-0.3392,1
85,0,1,2026-06-17 15:38:01.388,-0.0299,0.0067,-0.0193,-0.2439,-0.3346,1
86,0,1,2026-06-17 15:38:01.411,-0.0313,0.0069,-0.0196,-0.2390,-0.3305,1
87,0,1,2026-06-17 15:38:01.421,-0.0320,0.0070,-0.0197,-0.2374,-0.3293,1
88,0,1,2026-06-17 15:38:01.444,-0.0341,0.0071,-0.0203,-0.2707,-0.3429,1
89,0,1,2026-06-17 15:38:01.455,-0.0350,0.0070,-0.0205,-0.2704,-0.3439,1
90,0,1,2026-06-17 15:38:01.478,-0.0365,0.0071,-0.0208,-0.3026,-0.3336,1
91,0,1,2026-06-17 15:38:01.488,-0.0373,0.0071,-0.0210,-0.3027,-0.3352,1
92,0,1,2026-06-17 15:38:01.510,-0.0391,0.0070,-0.0215,-0.2979,-0.3404,1
93,0,1,2026-06-17 15:38:01.522,-0.0401,0.0070,-0.0217,-0.2975,-0.3415,1
94,0,1,2026-06-17 15:38:01.543,-0.0419,0.0069,-0.0221,-0.2793,-0.3552,1
95,0,1,2026-06-17 15:38:01.556,-0.0426,0.0069,-0.0222,-0.2789,-0.3562,1
96,0,1,2026-06-17 15:38:01.577,-0.0441,0.0068,-0.0225,-0.2656,-0.3618,1
97,0,1,2026-06-17 15:38:01.589,-0.0449,0.0068,-0.0226,-0.2652,-0.3629,1
98,0,1,2026-06-17 15:38:01.611,-0.0465,0.0068,-0.0230,-0.2547,-0.3621,1
99,0,1,2026-06-17 15:38:01.623,-0.0473,0.0068,-0.0231,-0.2545,-0.3630,1
100,0,1,2026-06-17 15:38:01.645,-0.0486,0.0068,-0.0234,-0.2385,-0.3624,1
101,0,1,2026-06-17 15:38:01.655,-0.0494,0.0069,-0.0236,-0.2297,-0.3607,1
102,0,1,2026-06-17 15:38:01.678,-0.0509,0.0071,-0.0238,-0.2281,-0.3580,1
103,0,1,2026-06-17 15:38:01.689,-0.0517,0.0071,-0.0240,-0.2279,-0.3614,1
104,0,1,2026-06-17 15:38:01.711,-0.0529,0.0073,-0.0242,-0.2217,-0.3579,1
105,0,1,2026-06-17 15:38:01.722,-0.0536,0.0073,-0.0244,-0.2167,-0.3552,1
106,0,1,2026-06-17 15:38:01.745,-0.0545,0.0072,-0.0245,-0.2249,-0.3596,1
107,0,1,2026-06-17 15:38:01.755,-0.0550,0.0072,-0.0244,-0.2249,-0.3602,1
108,0,1,2026-06-17 15:38:01.778,-0.0558,0.0072,-0.0244,-0.2236,-0.3561,1
109,0,1,2026-06-17 15:38:01.789,-0.0561,0.0071,-0.0243,-0.2155,-0.3548,1
110,0,1,2026-06-17 15:38:01.811,-0.0567,0.0069,-0.0244,-0.2089,-0.3555,1
111,0,1,2026-06-17 15:38:01.823,-0.0570,0.0070,-0.0243,-0.2086,-0.3556,1
112,0,1,2026-06-17 15:38:01.844,-0.0575,0.0071,-0.0242,-0.2092,-0.3570,1
113,0,1,2026-06-17 15:38:01.856,-0.0578,0.0071,-0.0242,-0.2091,-0.3573,1
114,0,1,2026-06-17 15:38:01.879,-0.0580,0.0072,-0.0240,-0.2093,-0.3569,1
115,0,1,2026-06-17 15:38:01.889,-0.0582,0.0072,-0.0239,-0.2093,-0.3569,1
116,0,1,2026-06-17 15:38:01.911,-0.0585,0.0071,-0.0237,-0.2086,-0.3619,1
117,0,1,2026-06-17 15:38:01.922,-0.0587,0.0071,-0.0237,-0.2046,-0.3611,1
118,0,1,2026-06-17 15:38:01.945,-0.0591,0.0070,-0.0235,-0.2019,-0.3639,1
119,0,1,2026-06-17 15:38:01.955,-0.0593,0.0069,-0.0234,-0.2014,-0.3622,1
120,0,1,2026-06-17 15:38:01.978,-0.0594,0.0068,-0.0232,-0.2013,-0.3622,1
121,0,1,2026-06-17 15:38:01.989,-0.0596,0.0067,-0.0231,-0.2038,-0.3625,1
122,0,1,2026-06-17 15:38:02.012,-0.0597,0.0067,-0.0228,-0.2077,-0.3611,1
123,0,1,2026-06-17 15:38:02.022,-0.0598,0.0067,-0.0227,-0.2077,-0.3611,1
124,0,1,2026-06-17 15:38:02.044,-0.0602,0.0066,-0.0226,-0.2086,-0.3619,1
125,0,1,2026-06-17 15:38:02.056,-0.0603,0.0065,-0.0225,-0.2061,-0.3623,1
126,0,1,2026-06-17 15:38:02.077,-0.0606,0.0064,-0.0224,-0.2044,-0.3617,1
127,0,1,2026-06-17 15:38:02.090,-0.0607,0.0063,-0.0223,-0.2044,-0.3617,1
128,0,1,2026-06-17 15:38:02.111,-0.0609,0.0062,-0.0221,-0.2044,-0.3616,1
129,0,1,2026-06-17 15:38:02.122,-0.0611,0.0062,-0.0221,-0.2043,-0.3616,1
130,0,1,2026-06-17 15:38:02.145,-0.0614,0.0061,-0.0220,-0.2089,-0.3637,1
131,0,1,2026-06-17 15:38:02.156,-0.0616,0.0060,-0.0219,-0.2087,-0.3605,1
132,0,1,2026-06-17 15:38:02.178,-0.0619,0.0058,-0.0219,-0.2086,-0.3605,1
133,0,1,2026-06-17 15:38:02.189,-0.0621,0.0058,-0.0218,-0.2080,-0.3649,1
134,0,1,2026-06-17 15:38:02.211,-0.0624,0.0056,-0.0218,-0.2043,-0.3645,1
135,0,1,2026-06-17 15:38:02.223,-0.0626,0.0055,-0.0217,-0.2042,-0.3645,1
136,0,1,2026-06-17 15:38:02.245,-0.0628,0.0057,-0.0216,-0.2039,-0.3642,1
137,0,1,2026-06-17 15:38:02.256,-0.0630,0.0057,-0.0215,-0.2043,-0.3605,1
138,0,2,2026-06-17 15:38:02.278,-0.0632,0.0058,-0.0215,-0.2043,-0.3606,1
139,0,2,2026-06-17 15:38:02.289,-0.0633,0.0058,-0.0215,-0.2043,-0.3606,1
140,0,2,2026-06-17 15:38:02.312,-0.0635,0.0057,-0.0214,-0.2032,-0.3563,1
141,0,2,2026-06-17 15:38:02.323,-0.0637,0.0057,-0.0214,-0.2031,-0.3563,1
142,0,2,2026-06-17 15:38:02.344,-0.0639,0.0056,-0.0213,-0.2059,-0.3562,1
143,0,2,2026-06-17 15:38:02.357,-0.0640,0.0056,-0.0213,-0.2058,-0.3563,1
144,0,2,2026-06-17 15:38:02.378,-0.0640,0.0054,-0.0211,-0.2057,-0.3561,1
145,0,2,2026-06-17 15:38:02.389,-0.0640,0.0053,-0.0211,-0.2059,-0.3544,1
