SessionId,RecordingId,Condition,AbsTime,ElapsedSec,EventType,Details
20260810_165542_500,1,Unspecified,2026-08-10T16:56:22.9534928+09:00,40.452523,SessionCreated,
20260810_165542_500,1,Unspecified,2026-08-10T16:56:22.9544928+09:00,40.453891,RecordingStart,
20260810_165542_500,1,Unspecified,2026-08-10T16:57:02.0174928+09:00,79.517170,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T16:57:05.0244928+09:00,82.523765,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T16:58:05.0284928+09:00,142.528459,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T16:58:08.0354928+09:00,145.534768,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T16:59:08.0404928+09:00,205.539552,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T16:59:11.0464928+09:00,208.546011,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:00:11.0524928+09:00,268.551500,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:00:14.0584928+09:00,271.558005,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:01:14.0624928+09:00,331.562431,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:01:17.0694928+09:00,334.569313,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:02:17.0734928+09:00,394.573351,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:02:20.0804928+09:00,397.580439,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:03:20.0854928+09:00,457.585000,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:03:23.0924928+09:00,460.591846,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:04:23.0954928+09:00,520.595303,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:04:26.1024928+09:00,523.601756,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:05:26.1074928+09:00,583.606703,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:05:29.1144928+09:00,586.614111,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:06:29.1194928+09:00,646.618697,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:06:32.1254928+09:00,649.624723,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:07:32.1304928+09:00,709.630165,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:07:35.1374928+09:00,712.637325,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:08:35.1424928+09:00,772.642074,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:08:38.1494928+09:00,775.648983,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:09:38.1534928+09:00,835.653224,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:09:41.1604928+09:00,838.659784,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:10:41.1654928+09:00,898.664572,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:10:44.1714928+09:00,901.671150,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:11:44.1764928+09:00,961.675757,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:11:47.1834928+09:00,964.682603,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:12:47.1884928+09:00,1024.687542,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:12:50.1944928+09:00,1027.694322,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:13:50.1994928+09:00,1087.698688,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:13:53.2054928+09:00,1090.705491,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:14:53.2104928+09:00,1150.709573,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:14:56.2174928+09:00,1153.716780,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:15:56.2214928+09:00,1213.721161,DisturbanceStart,
20260810_165542_500,1,Unspecified,2026-08-10T17:15:59.2284928+09:00,1216.727885,DisturbanceEnd,
20260810_165542_500,1,Unspecified,2026-08-10T17:16:31.1304928+09:00,1248.630314,RecordingStop,
