SessionId,RecordingId,Condition,WindowIndex,WindowStartAbsTime,WindowEndAbsTime,WindowStartElapsedSec,WindowEndElapsedSec,SampleCount,ValidSampleCount,MeanGazeX,MeanGazeY,VarianceGazeX,VarianceGazeY,CovarianceXY,Dispersion,TrackingFailureCount
20260806_192155_881,1,Unspecified,28,2026-08-06T19:22:42.2333273+09:00,2026-08-06T19:22:42.7333273+09:00,46.352185,46.852185,30,30,0.023389,0.070072,0.000004,0.000001,-0.000001,0.002257,0
20260806_192155_881,1,Unspecified,29,2026-08-06T19:22:42.7333273+09:00,2026-08-06T19:22:43.2333273+09:00,46.852185,47.352185,30,30,0.016134,0.044927,0.000420,0.000442,-0.000292,0.029352,0
20260806_192155_881,1,Unspecified,30,2026-08-06T19:22:43.2333273+09:00,2026-08-06T19:22:43.7333273+09:00,47.352185,47.852185,30,30,0.004379,0.050046,0.000390,0.000348,-0.000242,0.027176,0
20260806_192155_881,1,Unspecified,31,2026-08-06T19:22:43.7333273+09:00,2026-08-06T19:22:44.2333273+09:00,47.852185,48.352185,30,30,0.000410,0.061680,0.000003,0.000003,-0.000001,0.002366,0
20260806_192155_881,1,Unspecified,32,2026-08-06T19:22:44.2333273+09:00,2026-08-06T19:22:44.7333273+09:00,48.352185,48.852185,30,30,0.022112,0.068119,0.000015,0.000003,0.000004,0.004292,0
20260806_192155_881,1,Unspecified,33,2026-08-06T19:22:44.7333273+09:00,2026-08-06T19:22:45.2333273+09:00,48.852185,49.352185,30,30,0.030852,0.057921,0.000163,0.000208,-0.000149,0.019260,0
20260806_192155_881,1,Unspecified,34,2026-08-06T19:22:45.2333273+09:00,2026-08-06T19:22:45.7333273+09:00,49.352185,49.852185,30,30,0.022676,0.059397,0.000066,0.000010,0.000020,0.008678,0
20260806_192155_881,1,Unspecified,35,2026-08-06T19:22:45.7333273+09:00,2026-08-06T19:22:46.2333273+09:00,49.852185,50.352185,30,30,0.028319,0.062806,0.000002,0.000002,0.000000,0.002121,0
20260806_192155_881,1,Unspecified,36,2026-08-06T19:22:46.2333273+09:00,2026-08-06T19:22:46.7333273+09:00,50.352185,50.852185,31,31,0.035390,0.064355,0.000007,0.000006,0.000003,0.003613,0
20260806_192155_881,1,Unspecified,37,2026-08-06T19:22:46.7333273+09:00,2026-08-06T19:22:47.2333273+09:00,50.852185,51.352185,29,29,0.026400,0.057490,0.000127,0.000229,-0.000075,0.018877,0
20260806_192155_881,1,Unspecified,38,2026-08-06T19:22:47.2333273+09:00,2026-08-06T19:22:47.7333273+09:00,51.352185,51.852185,30,30,0.020878,0.065354,0.000061,0.000006,0.000012,0.008178,0
20260806_192155_881,1,Unspecified,39,2026-08-06T19:22:47.7333273+09:00,2026-08-06T19:22:48.2333273+09:00,51.852185,52.352185,30,30,0.026208,0.067754,0.000100,0.000033,0.000054,0.011528,0
20260806_192155_881,1,Unspecified,40,2026-08-06T19:22:48.2333273+09:00,2026-08-06T19:22:48.7333273+09:00,52.352185,52.852185,30,30,0.036006,0.073263,0.000017,0.000007,0.000009,0.004923,0
20260806_192155_881,1,Unspecified,41,2026-08-06T19:22:48.7333273+09:00,2026-08-06T19:22:49.2333273+09:00,52.852185,53.352185,30,30,0.038538,0.048356,0.000738,0.000130,-0.000137,0.029452,0
20260806_192155_881,1,Unspecified,42,2026-08-06T19:22:49.2333273+09:00,2026-08-06T19:22:49.7333273+09:00,53.352185,53.852185,30,30,0.061116,0.043331,0.000805,0.000214,-0.000333,0.031933,0
20260806_192155_881,1,Unspecified,43,2026-08-06T19:22:49.7333273+09:00,2026-08-06T19:22:50.2333273+09:00,53.852185,54.352185,30,30,0.062388,0.058986,0.000098,0.000017,0.000008,0.010705,0
20260806_192155_881,1,Unspecified,44,2026-08-06T19:22:50.2333273+09:00,2026-08-06T19:22:50.7333273+09:00,54.352185,54.852185,30,30,0.056629,0.067236,0.000044,0.000008,-0.000005,0.007242,0
20260806_192155_881,1,Unspecified,45,2026-08-06T19:22:50.7333273+09:00,2026-08-06T19:22:51.2333273+09:00,54.852185,55.352185,30,30,0.053542,0.060604,0.000014,0.000002,-0.000001,0.004005,0
20260806_192155_881,1,Unspecified,46,2026-08-06T19:22:51.2333273+09:00,2026-08-06T19:22:51.7333273+09:00,55.352185,55.852185,30,30,0.054257,0.056700,0.000184,0.000174,-0.000135,0.018918,0
20260806_192155_881,1,Unspecified,47,2026-08-06T19:22:51.7333273+09:00,2026-08-06T19:22:52.2333273+09:00,55.852185,56.352185,30,30,0.043418,0.054699,0.000003,0.000004,0.000001,0.002491,0
20260806_192155_881,1,Unspecified,48,2026-08-06T19:22:52.2333273+09:00,2026-08-06T19:22:52.7333273+09:00,56.352185,56.852185,30,30,0.036943,0.056816,0.000012,0.000009,-0.000005,0.004535,0
20260806_192155_881,1,Unspecified,49,2026-08-06T19:22:52.7333273+09:00,2026-08-06T19:22:53.2333273+09:00,56.852185,57.352185,30,30,0.039808,0.050247,0.000400,0.000232,-0.000271,0.025142,0
20260806_192155_881,1,Unspecified,50,2026-08-06T19:22:53.2333273+09:00,2026-08-06T19:22:53.7333273+09:00,57.352185,57.852185,30,30,0.035663,0.052756,0.000337,0.000311,-0.000214,0.025461,0
20260806_192155_881,1,Unspecified,51,2026-08-06T19:22:53.7333273+09:00,2026-08-06T19:22:54.2333273+09:00,57.852185,58.352185,30,30,0.033961,0.065708,0.000002,0.000002,0.000000,0.002059,0
20260806_192155_881,1,Unspecified,52,2026-08-06T19:22:54.2333273+09:00,2026-08-06T19:22:54.7333273+09:00,58.352185,58.852185,30,30,0.042772,0.063302,0.000031,0.000001,0.000003,0.005713,0
20260806_192155_881,1,Unspecified,53,2026-08-06T19:22:54.7333273+09:00,2026-08-06T19:22:55.2333273+09:00,58.852185,59.352185,30,30,0.033876,0.054442,0.000146,0.000089,-0.000099,0.015327,0
20260806_192155_881,1,Unspecified,54,2026-08-06T19:22:55.2333273+09:00,2026-08-06T19:22:55.7333273+09:00,59.352185,59.852185,30,30,0.044884,0.054914,0.000452,0.000174,-0.000213,0.025023,0
20260806_192155_881,1,Unspecified,55,2026-08-06T19:22:55.7333273+09:00,2026-08-06T19:22:56.2333273+09:00,59.852185,60.352185,30,30,0.026145,0.061752,0.000012,0.000008,-0.000008,0.004446,0
20260806_192155_881,1,Unspecified,56,2026-08-06T19:22:56.2333273+09:00,2026-08-06T19:22:56.7333273+09:00,60.352185,60.852185,30,30,0.032999,0.057859,0.000019,0.000009,0.000008,0.005323,0
20260806_192155_881,1,Unspecified,57,2026-08-06T19:22:56.7333273+09:00,2026-08-06T19:22:57.2333273+09:00,60.852185,61.352185,30,30,0.048106,0.059069,0.000291,0.000187,-0.000211,0.021872,0
20260806_192155_881,1,Unspecified,58,2026-08-06T19:22:57.2333273+09:00,2026-08-06T19:22:57.7333273+09:00,61.352185,61.852185,30,30,0.046667,0.060222,0.000420,0.000285,-0.000307,0.026538,0
20260806_192155_881,1,Unspecified,59,2026-08-06T19:22:57.7333273+09:00,2026-08-06T19:22:58.2333273+09:00,61.852185,62.352185,31,31,0.045137,0.062484,0.000092,0.000004,-0.000011,0.009812,0
20260806_192155_881,1,Unspecified,60,2026-08-06T19:22:58.2333273+09:00,2026-08-06T19:22:58.7333273+09:00,62.352185,62.852185,29,29,0.037058,0.057977,0.000024,0.000005,0.000002,0.005388,0
