SessionId,RecordingId,Condition,WindowIndex,WindowStartAbsTime,WindowEndAbsTime,WindowStartElapsedSec,WindowEndElapsedSec,SampleCount,ValidSampleCount,MeanGazeX,MeanGazeY,VarianceGazeX,VarianceGazeY,CovarianceXY,Dispersion,TrackingFailureCount
20260805_150942_485,1,Unspecified,0,2026-08-05T15:10:17.7296698+09:00,2026-08-05T15:10:18.2296698+09:00,35.243681,35.743681,30,30,0.048770,-0.055774,0.000071,0.000058,-0.000052,0.011379,0
20260805_150942_485,1,Unspecified,1,2026-08-05T15:10:18.2296698+09:00,2026-08-05T15:10:18.7296698+09:00,35.743681,36.243681,30,30,0.030604,-0.066323,0.000184,0.000357,0.000022,0.023247,0
20260805_150942_485,1,Unspecified,2,2026-08-05T15:10:18.7296698+09:00,2026-08-05T15:10:19.2296698+09:00,36.243681,36.743681,30,30,0.033795,-0.095266,0.000096,0.000017,0.000014,0.010638,0
20260805_150942_485,1,Unspecified,3,2026-08-05T15:10:19.2296698+09:00,2026-08-05T15:10:19.7296698+09:00,36.743681,37.243681,30,30,0.039274,-0.081462,0.000001,0.000005,0.000000,0.002567,0
20260805_150942_485,1,Unspecified,4,2026-08-05T15:10:19.7296698+09:00,2026-08-05T15:10:20.2296698+09:00,37.243681,37.743681,30,30,0.041791,-0.078924,0.000008,0.000002,-0.000001,0.003108,0
20260805_150942_485,1,Unspecified,5,2026-08-05T15:10:20.2296698+09:00,2026-08-05T15:10:20.7296698+09:00,37.743681,38.243681,30,30,0.024045,-0.199966,0.000533,0.021937,0.003384,0.149902,0
20260805_150942_485,1,Unspecified,6,2026-08-05T15:10:20.7296698+09:00,2026-08-05T15:10:21.2296698+09:00,38.243681,38.743681,30,30,0.004818,-0.212944,0.000449,0.041990,0.004288,0.206006,0
20260805_150942_485,1,Unspecified,7,2026-08-05T15:10:21.2296698+09:00,2026-08-05T15:10:21.7296698+09:00,38.743681,39.243681,30,30,0.032185,-0.026205,0.000104,0.000207,0.000067,0.017626,0
20260805_150942_485,1,Unspecified,8,2026-08-05T15:10:21.7296698+09:00,2026-08-05T15:10:22.2296698+09:00,39.243681,39.743681,30,30,0.015359,-0.063742,0.000075,0.000161,0.000052,0.015367,0
20260805_150942_485,1,Unspecified,9,2026-08-05T15:10:22.2296698+09:00,2026-08-05T15:10:22.7296698+09:00,39.743681,40.243681,30,30,0.031579,-0.032822,0.000177,0.000009,0.000019,0.013648,0
20260805_150942_485,1,Unspecified,10,2026-08-05T15:10:22.7296698+09:00,2026-08-05T15:10:23.2296698+09:00,40.243681,40.743681,30,30,0.036933,-0.026138,0.000059,0.000238,0.000044,0.017223,0
20260805_150942_485,1,Unspecified,11,2026-08-05T15:10:23.2296698+09:00,2026-08-05T15:10:23.7296698+09:00,40.743681,41.243681,30,30,0.024924,-0.043609,0.000164,0.000360,0.000152,0.022885,0
20260805_150942_485,1,Unspecified,12,2026-08-05T15:10:23.7296698+09:00,2026-08-05T15:10:24.2296698+09:00,41.243681,41.743681,30,30,-0.008060,-0.082818,0.000186,0.000241,0.000140,0.020678,0
20260805_150942_485,1,Unspecified,13,2026-08-05T15:10:24.2296698+09:00,2026-08-05T15:10:24.7296698+09:00,41.743681,42.243681,30,30,0.024105,-0.049751,0.000240,0.000165,0.000194,0.020114,0
20260805_150942_485,1,Unspecified,14,2026-08-05T15:10:24.7296698+09:00,2026-08-05T15:10:25.2296698+09:00,42.243681,42.743681,30,30,0.035596,-0.037860,0.000116,0.000287,0.000167,0.020075,0
20260805_150942_485,1,Unspecified,15,2026-08-05T15:10:25.2296698+09:00,2026-08-05T15:10:25.7296698+09:00,42.743681,43.243681,30,30,0.028207,-0.032304,0.000336,0.000790,0.000117,0.033558,0
20260805_150942_485,1,Unspecified,16,2026-08-05T15:10:25.7296698+09:00,2026-08-05T15:10:26.2296698+09:00,43.243681,43.743681,30,30,-0.007966,-0.060783,0.000012,0.000007,-0.000003,0.004377,0
20260805_150942_485,1,Unspecified,17,2026-08-05T15:10:26.2296698+09:00,2026-08-05T15:10:26.7296698+09:00,43.743681,44.243681,30,30,0.017830,-0.052181,0.000452,0.000046,0.000143,0.022317,0
20260805_150942_485,1,Unspecified,18,2026-08-05T15:10:26.7296698+09:00,2026-08-05T15:10:27.2296698+09:00,44.243681,44.743681,30,30,0.037647,-0.041524,0.000001,0.000001,0.000000,0.001386,0
20260805_150942_485,1,Unspecified,19,2026-08-05T15:10:27.2296698+09:00,2026-08-05T15:10:27.7296698+09:00,44.743681,45.243681,30,30,-0.011415,-0.050320,0.000594,0.000194,0.000187,0.028087,0
20260805_150942_485,1,Unspecified,20,2026-08-05T15:10:27.7296698+09:00,2026-08-05T15:10:28.2296698+09:00,45.243681,45.743681,30,30,0.011858,-0.053261,0.000385,0.000100,0.000118,0.022026,0
20260805_150942_485,1,Unspecified,21,2026-08-05T15:10:28.2296698+09:00,2026-08-05T15:10:28.7296698+09:00,45.743681,46.243681,30,30,0.027868,-0.046611,0.000062,0.000002,0.000007,0.007954,0
20260805_150942_485,1,Unspecified,22,2026-08-05T15:10:28.7296698+09:00,2026-08-05T15:10:29.2296698+09:00,46.243681,46.743681,30,30,0.039263,-0.037430,0.000148,0.000207,-0.000094,0.018838,0
20260805_150942_485,1,Unspecified,23,2026-08-05T15:10:29.2296698+09:00,2026-08-05T15:10:29.7296698+09:00,46.743681,47.243681,30,30,-0.033099,-0.057450,0.000947,0.000289,0.000165,0.035154,0
