FrameIndex,Block,Trial,AbsTime,HeadDeltaX,HeadDeltaY,HeadDeltaZ,GazeCorrX,GazeCorrY,IsBlink
0,0,0,2026-06-17 15:02:46.203,0.0000,0.0002,0.0001,0.0082,-0.0152,0.0000
1,0,0,2026-06-17 15:02:46.213,0.0000,0.0003,0.0002,0.0082,-0.0152,0.0000
2,0,0,2026-06-17 15:02:46.236,-0.0001,0.0004,0.0004,0.0082,-0.0152,0.0000
3,0,0,2026-06-17 15:02:46.247,-0.0001,0.0004,0.0005,0.0082,-0.0152,0.0000
4,0,0,2026-06-17 15:02:46.269,-0.0001,0.0003,0.0007,0.0082,-0.0152,0.0000
5,0,0,2026-06-17 15:02:46.281,0.0000,0.0002,0.0008,0.0082,-0.0152,0.0000
6,0,0,2026-06-17 15:02:46.303,0.0000,0.0000,0.0010,0.0082,-0.0152,0.0000
7,0,0,2026-06-17 15:02:46.313,0.0001,-0.0002,0.0011,0.0082,-0.0152,0.0000
8,0,0,2026-06-17 15:02:46.336,0.0002,-0.0004,0.0013,0.0081,-0.0153,0.0000
9,0,0,2026-06-17 15:02:46.346,0.0002,-0.0006,0.0013,0.0081,-0.0153,0.0000
10,0,0,2026-06-17 15:02:46.369,0.0003,-0.0008,0.0015,0.0081,-0.0154,0.0000
11,0,0,2026-06-17 15:02:46.380,0.0003,-0.0009,0.0015,0.0080,-0.0154,0.0000
12,0,0,2026-06-17 15:02:46.403,0.0003,-0.0012,0.0016,0.0080,-0.0154,0.0000
13,0,0,2026-06-17 15:02:46.413,0.0003,-0.0013,0.0016,0.0080,-0.0154,0.0000
14,0,0,2026-06-17 15:02:46.435,0.0003,-0.0015,0.0016,0.0079,-0.0154,0.0000
15,0,0,2026-06-17 15:02:46.458,0.0003,-0.0016,0.0016,0.0079,-0.0154,0.0000
16,0,0,2026-06-17 15:02:46.469,0.0002,-0.0016,0.0016,0.0079,-0.0154,0.0000
17,0,0,2026-06-17 15:02:46.491,0.0001,-0.0015,0.0015,0.0080,-0.0154,0.0000
18,0,0,2026-06-17 15:02:46.502,0.0001,-0.0014,0.0014,0.0080,-0.0154,0.0000
19,0,0,2026-06-17 15:02:46.525,0.0000,-0.0013,0.0014,0.0081,-0.0154,0.0000
20,0,0,2026-06-17 15:02:46.536,-0.0001,-0.0013,0.0013,0.0081,-0.0154,0.0000
21,0,0,2026-06-17 15:02:46.546,-0.0001,-0.0013,0.0012,0.0082,-0.0154,0.0000
22,0,0,2026-06-17 15:02:46.569,-0.0001,-0.0012,0.0012,0.0081,-0.0155,0.0000
23,0,0,2026-06-17 15:02:46.581,0.0000,-0.0011,0.0012,0.0082,-0.0155,0.0000
24,0,0,2026-06-17 15:02:46.603,0.0002,-0.0011,0.0011,0.0082,-0.0157,0.0000
25,0,0,2026-06-17 15:02:46.613,0.0005,-0.0011,0.0011,0.0082,-0.0157,0.0000
26,0,0,2026-06-17 15:02:46.635,0.0011,-0.0012,0.0010,0.0083,-0.0160,0.0000
27,0,0,2026-06-17 15:02:46.647,0.0014,-0.0013,0.0009,0.0083,-0.0161,0.0000
28,0,0,2026-06-17 15:02:46.668,0.0024,-0.0015,0.0009,0.0084,-0.0164,0.0000
29,0,0,2026-06-17 15:02:46.681,0.0027,-0.0016,0.0009,0.0084,-0.0165,0.0000
30,0,0,2026-06-17 15:02:46.703,0.0033,-0.0019,0.0008,0.0084,-0.0168,0.0000
31,0,0,2026-06-17 15:02:46.713,0.0035,-0.0020,0.0007,0.0083,-0.0169,0.0000
32,0,0,2026-06-17 15:02:46.736,0.0041,-0.0022,0.0006,0.0083,-0.0172,0.0000
33,0,0,2026-06-17 15:02:46.746,0.0043,-0.0022,0.0006,0.0083,-0.0173,0.0000
34,0,0,2026-06-17 15:02:46.769,0.0046,-0.0023,0.0006,0.0083,-0.0175,0.0000
35,0,0,2026-06-17 15:02:46.792,0.0049,-0.0025,0.0006,0.0083,-0.0177,0.0000
36,0,0,2026-06-17 15:02:46.802,0.0051,-0.0024,0.0005,0.0082,-0.0177,0.0000
37,0,0,2026-06-17 15:02:46.814,0.0054,-0.0025,0.0005,0.0083,-0.0178,0.0000
38,0,0,2026-06-17 15:02:46.836,0.0055,-0.0025,0.0004,0.0083,-0.0178,0.0000
39,0,0,2026-06-17 15:02:46.846,0.0055,-0.0025,0.0003,0.0083,-0.0179,0.0000
40,0,0,2026-06-17 15:02:46.870,0.0056,-0.0024,0.0003,0.0083,-0.0179,0.0000
41,0,0,2026-06-17 15:02:46.880,0.0053,-0.0023,0.0003,0.0083,-0.0178,0.0000
42,0,0,2026-06-17 15:02:46.903,0.0051,-0.0023,0.0003,0.0083,-0.0178,0.0000
43,0,0,2026-06-17 15:02:46.913,0.0049,-0.0023,0.0003,0.0084,-0.0177,0.0000
44,0,0,2026-06-17 15:02:46.936,0.0046,-0.0023,0.0004,0.0084,-0.0176,0.0000
45,0,0,2026-06-17 15:02:46.947,0.0045,-0.0023,0.0004,0.0083,-0.0175,0.0000
46,0,0,2026-06-17 15:02:46.969,0.0041,-0.0023,0.0005,0.0083,-0.0174,0.0000
47,0,0,2026-06-17 15:02:46.981,0.0040,-0.0023,0.0005,0.0083,-0.0174,0.0000
48,0,0,2026-06-17 15:02:47.003,0.0038,-0.0023,0.0006,0.0084,-0.0173,0.0000
49,0,0,2026-06-17 15:02:47.014,0.0037,-0.0024,0.0007,0.0084,-0.0173,0.0000
50,0,0,2026-06-17 15:02:47.036,0.0036,-0.0024,0.0008,0.0084,-0.0172,0.0000
51,0,0,2026-06-17 15:02:47.047,0.0035,-0.0025,0.0009,0.0084,-0.0173,0.0000
52,0,0,2026-06-17 15:02:47.070,0.0034,-0.0026,0.0010,0.0084,-0.0172,0.0000
53,0,0,2026-06-17 15:02:47.080,0.0033,-0.0026,0.0010,0.0084,-0.0172,0.0000
54,0,0,2026-06-17 15:02:47.103,0.0032,-0.0026,0.0011,0.0085,-0.0172,0.0000
55,0,0,2026-06-17 15:02:47.113,0.0032,-0.0026,0.0011,0.0085,-0.0172,0.0000
56,0,0,2026-06-17 15:02:47.136,0.0031,-0.0026,0.0012,0.0085,-0.0172,0.0000
57,0,0,2026-06-17 15:02:47.148,0.0031,-0.0027,0.0012,0.0085,-0.0172,0.0000
58,0,0,2026-06-17 15:02:47.170,0.0031,-0.0027,0.0014,0.0084,-0.0173,0.0000
59,0,0,2026-06-17 15:02:47.181,0.0031,-0.0028,0.0015,0.0085,-0.0173,0.0000
60,0,0,2026-06-17 15:02:47.203,0.0030,-0.0028,0.0015,0.0085,-0.0173,0.0000
