SessionId,RecordingId,Condition,WindowIndex,WindowStartAbsTime,WindowEndAbsTime,WindowStartElapsedSec,WindowEndElapsedSec,SampleCount,ValidSampleCount,MeanGazeX,MeanGazeY,VarianceGazeX,VarianceGazeY,CovarianceXY,Dispersion,TrackingFailureCount
20260806_152143_137,1,Unspecified,0,2026-08-06T15:22:56.7369110+09:00,2026-08-06T15:22:57.2369110+09:00,73.599056,74.099056,30,30,0.072074,-0.079595,0.000721,0.000031,-0.000018,0.027426,0
20260806_152143_137,1,Unspecified,1,2026-08-06T15:22:57.2369110+09:00,2026-08-06T15:22:57.7369110+09:00,74.099056,74.599056,30,30,0.056800,-0.103606,0.000937,0.000083,0.000236,0.031931,0
20260806_152143_137,1,Unspecified,2,2026-08-06T15:22:57.7369110+09:00,2026-08-06T15:22:58.2369110+09:00,74.599056,75.099056,30,30,0.016392,-0.160880,0.000852,0.001055,-0.000462,0.043672,0
20260806_152143_137,1,Unspecified,3,2026-08-06T15:22:58.2369110+09:00,2026-08-06T15:22:58.7369110+09:00,75.099056,75.599056,30,30,0.080788,-0.174254,0.000009,0.000314,-0.000045,0.017975,0
20260806_152143_137,1,Unspecified,4,2026-08-06T15:22:58.7369110+09:00,2026-08-06T15:22:59.2369110+09:00,75.599056,76.099056,30,30,0.082509,-0.148940,0.000039,0.000031,-0.000030,0.008350,0
20260806_152143_137,1,Unspecified,5,2026-08-06T15:22:59.2369110+09:00,2026-08-06T15:22:59.7369110+09:00,76.099056,76.599056,30,30,0.070116,-0.095600,0.000016,0.000274,0.000029,0.017041,0
20260806_152143_137,1,Unspecified,6,2026-08-06T15:22:59.7369110+09:00,2026-08-06T15:23:00.2369110+09:00,76.599056,77.099056,30,30,0.070816,-0.060841,0.000028,0.001039,-0.000042,0.032672,0
20260806_152143_137,1,Unspecified,7,2026-08-06T15:23:00.2369110+09:00,2026-08-06T15:23:00.7369110+09:00,77.099056,77.599056,30,30,0.067601,-0.068402,0.000020,0.000015,-0.000007,0.005923,0
20260806_152143_137,1,Unspecified,8,2026-08-06T15:23:00.7369110+09:00,2026-08-06T15:23:01.2369110+09:00,77.599056,78.099056,30,30,0.074180,-0.087623,0.000448,0.000490,-0.000403,0.030616,0
20260806_152143_137,1,Unspecified,9,2026-08-06T15:23:01.2369110+09:00,2026-08-06T15:23:01.7369110+09:00,78.099056,78.599056,30,30,0.034416,-0.113349,0.001382,0.000044,0.000107,0.037758,0
20260806_152143_137,1,Unspecified,10,2026-08-06T15:23:01.7369110+09:00,2026-08-06T15:23:02.2369110+09:00,78.599056,79.099056,30,30,0.073641,-0.081100,0.000673,0.000097,-0.000187,0.027756,0
20260806_152143_137,1,Unspecified,11,2026-08-06T15:23:02.2369110+09:00,2026-08-06T15:23:02.7369110+09:00,79.099056,79.599056,30,30,0.059758,-0.073851,0.000049,0.000079,-0.000054,0.011301,0
20260806_152143_137,1,Unspecified,12,2026-08-06T15:23:02.7369110+09:00,2026-08-06T15:23:03.2369110+09:00,79.599056,80.099056,30,30,0.063445,-0.079019,0.000001,0.000002,0.000000,0.001924,0
20260806_152143_137,1,Unspecified,13,2026-08-06T15:23:03.2369110+09:00,2026-08-06T15:23:03.7369110+09:00,80.099056,80.599056,31,31,0.062881,-0.082366,0.000004,0.000002,0.000000,0.002439,0
20260806_152143_137,1,Unspecified,14,2026-08-06T15:23:03.7369110+09:00,2026-08-06T15:23:04.2369110+09:00,80.599056,81.099056,29,29,0.070918,-0.079732,0.000005,0.000003,0.000000,0.002842,0
20260806_152143_137,1,Unspecified,15,2026-08-06T15:23:04.2369110+09:00,2026-08-06T15:23:04.7369110+09:00,81.099056,81.599056,30,30,0.072057,-0.082502,0.000002,0.000004,-0.000001,0.002497,0
20260806_152143_137,1,Unspecified,16,2026-08-06T15:23:04.7369110+09:00,2026-08-06T15:23:05.2369110+09:00,81.599056,82.099056,30,30,0.081203,-0.163967,0.000057,0.002746,-0.000126,0.052944,0
20260806_152143_137,1,Unspecified,17,2026-08-06T15:23:05.2369110+09:00,2026-08-06T15:23:05.7369110+09:00,82.099056,82.599056,30,30,0.084858,-0.138890,0.000663,0.002887,-0.000122,0.059582,0
20260806_152143_137,1,Unspecified,18,2026-08-06T15:23:05.7369110+09:00,2026-08-06T15:23:06.2369110+09:00,82.599056,83.099056,30,30,0.079528,-0.080072,0.000042,0.000014,0.000022,0.007487,0
20260806_152143_137,1,Unspecified,19,2026-08-06T15:23:06.2369110+09:00,2026-08-06T15:23:06.7369110+09:00,83.099056,83.599056,30,30,0.071144,-0.073066,0.000288,0.000141,-0.000172,0.020696,0
20260806_152143_137,1,Unspecified,20,2026-08-06T15:23:06.7369110+09:00,2026-08-06T15:23:07.2369110+09:00,83.599056,84.099056,30,30,0.044712,-0.065887,0.000102,0.000213,0.000045,0.017771,0
20260806_152143_137,1,Unspecified,21,2026-08-06T15:23:07.2369110+09:00,2026-08-06T15:23:07.7369110+09:00,84.099056,84.599056,30,30,0.049303,-0.072924,0.000225,0.000018,0.000058,0.015574,0
20260806_152143_137,1,Unspecified,22,2026-08-06T15:23:07.7369110+09:00,2026-08-06T15:23:08.2369110+09:00,84.599056,85.099056,30,30,0.078773,-0.069385,0.000002,0.000008,-0.000001,0.003156,0
20260806_152143_137,1,Unspecified,23,2026-08-06T15:23:08.2369110+09:00,2026-08-06T15:23:08.7369110+09:00,85.099056,85.599056,30,30,0.078413,-0.064029,0.000009,0.000003,-0.000002,0.003513,0
20260806_152143_137,1,Unspecified,24,2026-08-06T15:23:08.7369110+09:00,2026-08-06T15:23:09.2369110+09:00,85.599056,86.099056,30,30,0.070251,-0.061896,0.000048,0.000044,0.000014,0.009635,0
20260806_152143_137,1,Unspecified,25,2026-08-06T15:23:09.2369110+09:00,2026-08-06T15:23:09.7369110+09:00,86.099056,86.599056,31,31,0.077295,-0.061414,0.000018,0.000031,0.000002,0.007010,0
20260806_152143_137,1,Unspecified,26,2026-08-06T15:23:09.7369110+09:00,2026-08-06T15:23:10.2369110+09:00,86.599056,87.099056,29,29,0.060413,-0.065113,0.000001,0.000004,-0.000001,0.002219,0
20260806_152143_137,1,Unspecified,27,2026-08-06T15:23:10.2369110+09:00,2026-08-06T15:23:10.7369110+09:00,87.099056,87.599056,30,30,0.059643,-0.064273,0.000003,0.000003,-0.000001,0.002264,0
20260806_152143_137,1,Unspecified,28,2026-08-06T15:23:10.7369110+09:00,2026-08-06T15:23:11.2369110+09:00,87.599056,88.099056,30,30,0.046719,-0.062363,0.000113,0.000006,-0.000008,0.010917,0
20260806_152143_137,1,Unspecified,29,2026-08-06T15:23:11.2369110+09:00,2026-08-06T15:23:11.7369110+09:00,88.099056,88.599056,30,30,0.077988,-0.065182,0.000004,0.000002,0.000000,0.002507,0
20260806_152143_137,1,Unspecified,30,2026-08-06T15:23:11.7369110+09:00,2026-08-06T15:23:12.2369110+09:00,88.599056,89.099056,30,30,0.067228,-0.065897,0.000116,0.000006,0.000023,0.011037,0
20260806_152143_137,1,Unspecified,31,2026-08-06T15:23:12.2369110+09:00,2026-08-06T15:23:12.7369110+09:00,89.099056,89.599056,30,30,0.057646,-0.068880,0.000003,0.000003,-0.000001,0.002501,0
