FrameIndex,Block,Trial,AbsTime,HeadDeltaX,HeadDeltaY,HeadDeltaZ,GazeCorrX,GazeCorrY,IsBlink
0,0,0,2026-06-16 18:21:38.486,0.0001,0.0000,0.0001,0.0961,-0.0581,0
1,0,0,2026-06-16 18:21:38.496,0.0002,0.0000,0.0002,0.0961,-0.0586,0
2,0,0,2026-06-16 18:21:38.519,0.0003,0.0000,0.0003,0.0935,-0.0591,0
3,0,0,2026-06-16 18:21:38.540,0.0003,0.0000,0.0005,0.0931,-0.0591,0
4,0,0,2026-06-16 18:21:38.552,0.0004,0.0000,0.0005,0.0933,-0.0581,0
5,0,0,2026-06-16 18:21:38.574,0.0004,0.0001,0.0007,0.0918,-0.0578,0
6,0,0,2026-06-16 18:21:38.585,0.0004,0.0001,0.0007,0.0944,-0.0575,0
7,0,0,2026-06-16 18:21:38.608,0.0004,0.0001,0.0008,0.0933,-0.0574,0
8,0,0,2026-06-16 18:21:38.619,0.0005,0.0000,0.0009,0.0932,-0.0573,0
9,0,0,2026-06-16 18:21:38.640,0.0005,-0.0002,0.0009,0.0931,-0.0572,0
10,0,0,2026-06-16 18:21:38.653,0.0005,-0.0003,0.0009,0.0931,-0.0573,0
11,0,0,2026-06-16 18:21:38.663,0.0005,-0.0004,0.0009,0.0922,-0.0574,0
12,0,0,2026-06-16 18:21:38.685,0.0005,-0.0006,0.0010,0.0924,-0.0576,0
13,0,0,2026-06-16 18:21:38.697,0.0005,-0.0006,0.0011,0.0924,-0.0576,0
14,0,0,2026-06-16 18:21:38.719,0.0006,-0.0008,0.0011,0.0925,-0.0551,0
15,0,0,2026-06-16 18:21:38.740,0.0006,-0.0007,0.0012,0.0908,-0.0550,0
16,0,0,2026-06-16 18:21:38.752,0.0006,-0.0006,0.0011,0.0907,-0.0556,0
17,0,0,2026-06-16 18:21:38.775,0.0006,-0.0006,0.0009,0.0915,-0.0577,0
18,0,0,2026-06-16 18:21:38.786,0.0006,-0.0006,0.0007,0.0914,-0.0577,0
19,0,0,2026-06-16 18:21:38.797,0.0006,-0.0005,0.0004,0.0914,-0.0577,0
20,0,0,2026-06-16 18:21:38.818,0.0006,-0.0005,-0.0008,0.0928,-0.0578,0
21,0,0,2026-06-16 18:21:38.841,0.0006,-0.0004,-0.0022,0.0931,-0.0557,0
22,0,0,2026-06-16 18:21:38.852,0.0006,-0.0004,-0.0031,0.0929,-0.0556,0
23,0,0,2026-06-16 18:21:38.875,0.0006,-0.0002,-0.0053,0.0923,-0.0555,0
24,0,0,2026-06-16 18:21:38.884,0.0006,0.0000,-0.0067,0.0898,-0.0503,0
25,0,0,2026-06-16 18:21:38.908,0.0007,0.0005,-0.0096,0.0911,-0.0504,0
26,0,0,2026-06-16 18:21:38.919,0.0008,0.0008,-0.0113,0.0897,-0.0495,0
27,0,0,2026-06-16 18:21:38.941,0.0007,0.0015,-0.0149,0.0906,-0.0516,0
