SessionId,RecordingId,Condition,EventType,EventId,StartAbsTime,EndAbsTime,StartElapsedSec,EndElapsedSec,DurationMs,StartSampleIndex,EndSampleIndex,MaxClosure,MeanClosure,IsAccepted,TrackingInterrupted,EndReason
20260805_172630_772,1,Unspecified,Blink,1,2026-08-05T17:34:49.8176301+09:00,2026-08-05T17:34:49.9146301+09:00,499.044766,499.141574,96.807,27848,27853,0.538759,0.370902,1,0,EyesOpened
20260805_172630_772,1,Unspecified,Blink,2,2026-08-05T17:35:39.8256301+09:00,2026-08-05T17:35:39.8816301+09:00,549.053000,549.108802,55.802,30848,30851,0.517976,0.416007,1,0,EyesOpened
20260805_172630_772,1,Unspecified,TrackingFailure,3,2026-08-05T17:47:17.4666301+09:00,2026-08-05T17:47:17.4936301+09:00,1246.694192,1246.720796,26.605,72670,72671,,,,1,RecordingStopped
