SessionId,RecordingId,Condition,AbsTime,ElapsedSec,EventType,Details
20260805_150942_485,1,Unspecified,2026-08-05T15:10:17.7276698+09:00,35.241865,SessionCreated,
20260805_150942_485,1,Unspecified,2026-08-05T15:10:17.7286698+09:00,35.243054,RecordingStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:11:13.7796698+09:00,91.293914,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:11:16.7796698+09:00,94.293677,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:12:16.7896698+09:00,154.303963,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:12:19.8006698+09:00,157.314580,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:13:19.7996698+09:00,217.314401,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:13:22.8106698+09:00,220.325003,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:14:22.8226698+09:00,280.336574,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:14:25.8236698+09:00,283.337940,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:15:25.8316698+09:00,343.346371,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:15:28.8416698+09:00,346.355842,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:16:28.8526698+09:00,406.366501,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:16:31.8516698+09:00,409.366054,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:17:31.8616698+09:00,469.376347,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:17:34.8726698+09:00,472.387078,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:18:34.8836698+09:00,532.397578,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:18:37.8826698+09:00,535.397114,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:19:37.8936698+09:00,595.407503,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:19:40.9036698+09:00,598.418034,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:20:40.9146698+09:00,658.428588,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:20:43.9136698+09:00,661.428205,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:21:43.9236698+09:00,721.438488,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:21:46.9236698+09:00,724.438258,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:22:46.9346698+09:00,784.448501,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:22:49.9446698+09:00,787.458908,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:23:49.9556698+09:00,847.469553,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:23:52.9656698+09:00,850.480204,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:24:52.9656698+09:00,910.479979,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:24:55.9756698+09:00,913.489949,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:25:55.9866698+09:00,973.500518,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:25:58.9966698+09:00,976.510852,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:26:59.0076698+09:00,1036.521610,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:27:02.0066698+09:00,1039.521224,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:28:02.0176698+09:00,1099.531886,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:28:05.0276698+09:00,1102.542210,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:29:05.0306698+09:00,1162.545085,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:29:08.0316698+09:00,1165.545800,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:30:08.0376698+09:00,1225.552250,DisturbanceStart,
20260805_150942_485,1,Unspecified,2026-08-05T15:30:11.0476698+09:00,1228.562095,DisturbanceEnd,
20260805_150942_485,1,Unspecified,2026-08-05T15:30:26.8656698+09:00,1244.380193,RecordingStop,
