SessionId,RecordingId,Condition,AbsTime,ElapsedSec,EventType,Details
20260806_132007_298,1,Unspecified,2026-08-06T13:21:19.7273633+09:00,72.428800,SessionCreated,
20260806_132007_298,1,Unspecified,2026-08-06T13:21:19.7283633+09:00,72.429863,RecordingStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:21:50.5773633+09:00,103.278886,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:21:53.5843633+09:00,106.285822,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:22:53.5883633+09:00,166.289828,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:22:56.5953633+09:00,169.296574,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:23:56.6003633+09:00,229.301670,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:23:59.6063633+09:00,232.308237,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:24:59.6103633+09:00,292.311531,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:25:02.6163633+09:00,295.318421,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:26:02.6213633+09:00,355.322701,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:26:05.6283633+09:00,358.330456,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:27:05.6333633+09:00,418.335365,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:27:08.6403633+09:00,421.342168,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:28:08.6453633+09:00,481.346645,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:28:11.6523633+09:00,484.353662,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:29:11.6573633+09:00,544.359399,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:29:14.6633633+09:00,547.364654,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:30:14.6683633+09:00,607.369675,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:30:17.6743633+09:00,610.376448,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:31:17.6793633+09:00,670.381001,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:31:20.6853633+09:00,673.387474,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:32:20.6913633+09:00,733.392633,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:32:23.6973633+09:00,736.399131,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:33:23.7013633+09:00,796.403393,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:33:26.7093633+09:00,799.410837,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:34:26.7133633+09:00,859.415204,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:34:29.7193633+09:00,862.421380,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:35:29.7253633+09:00,922.426637,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:35:32.7313633+09:00,925.432855,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:36:32.7363633+09:00,985.437782,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:36:35.7423633+09:00,988.444172,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:37:35.7473633+09:00,1048.449065,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:37:38.7533633+09:00,1051.455486,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:38:38.7593633+09:00,1111.460639,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:38:41.7653633+09:00,1114.467098,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:39:41.7693633+09:00,1174.470582,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:39:44.7753633+09:00,1177.477003,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:40:44.7803633+09:00,1237.482304,DisturbanceStart,
20260806_132007_298,1,Unspecified,2026-08-06T13:40:47.7873633+09:00,1240.488643,DisturbanceEnd,
20260806_132007_298,1,Unspecified,2026-08-06T13:41:31.8943633+09:00,1284.595550,RecordingStop,
