FrameIndex,Block,Trial,AbsTime,HeadDeltaX,HeadDeltaY,HeadDeltaZ,GazeCorrX,GazeCorrY,IsBlink
0,0,0,2026-06-16 17:28:47.069,0.0000,0.0000,0.0000,0.0113,-0.0338,0
1,0,0,2026-06-16 17:28:47.102,0.0000,0.0000,-0.0001,0.0092,-0.0348,0
2,0,0,2026-06-16 17:28:47.113,0.0001,0.0001,-0.0002,0.0092,-0.0348,0
3,0,0,2026-06-16 17:28:47.124,0.0001,0.0001,-0.0002,0.0100,-0.0348,0
4,0,0,2026-06-16 17:28:47.146,0.0002,0.0002,-0.0003,0.0100,-0.0348,0
5,0,0,2026-06-16 17:28:47.156,0.0002,0.0002,-0.0004,0.0101,-0.0340,0
6,0,0,2026-06-16 17:28:47.180,0.0002,0.0004,-0.0003,0.0111,-0.0347,0
7,0,0,2026-06-16 17:28:47.190,0.0002,0.0004,-0.0004,0.0112,-0.0333,0
8,0,0,2026-06-16 17:28:47.213,0.0002,0.0003,-0.0004,0.0112,-0.0334,0
9,0,0,2026-06-16 17:28:47.234,0.0003,0.0003,-0.0005,0.0111,-0.0333,0
10,0,0,2026-06-16 17:28:47.246,0.0003,0.0003,-0.0005,0.0115,-0.0346,0
11,0,0,2026-06-16 17:28:47.268,0.0003,0.0003,-0.0005,0.0116,-0.0346,0
12,0,0,2026-06-16 17:28:47.280,0.0003,0.0003,-0.0005,0.0115,-0.0364,0
13,0,0,2026-06-16 17:28:47.302,0.0004,0.0003,-0.0006,0.0096,-0.0352,0
14,0,0,2026-06-16 17:28:47.313,0.0005,0.0004,-0.0006,0.0110,-0.0352,0
15,0,0,2026-06-16 17:28:47.335,0.0006,0.0004,-0.0006,0.0111,-0.0351,0
16,0,0,2026-06-16 17:28:47.346,0.0006,0.0005,-0.0006,0.0111,-0.0351,0
17,0,0,2026-06-16 17:28:47.368,0.0007,0.0005,-0.0007,0.0112,-0.0355,0
18,0,0,2026-06-16 17:28:47.380,0.0007,0.0005,-0.0007,0.0104,-0.0336,0
19,0,0,2026-06-16 17:28:47.402,0.0008,0.0005,-0.0008,0.0105,-0.0336,0
20,0,0,2026-06-16 17:28:47.413,0.0008,0.0005,-0.0008,0.0105,-0.0336,0
21,0,0,2026-06-16 17:28:47.435,0.0009,0.0005,-0.0007,0.0115,-0.0350,0
22,0,0,2026-06-16 17:28:47.446,0.0010,0.0005,-0.0007,0.0115,-0.0351,0
23,0,0,2026-06-16 17:28:47.468,0.0010,0.0005,-0.0007,0.0104,-0.0350,0
24,0,0,2026-06-16 17:28:47.479,0.0010,0.0005,-0.0007,0.0104,-0.0352,0
25,0,0,2026-06-16 17:28:47.502,0.0010,0.0005,-0.0008,0.0085,-0.0354,0
26,0,0,2026-06-16 17:28:47.513,0.0010,0.0004,-0.0008,0.0085,-0.0354,0
27,0,0,2026-06-16 17:28:47.534,0.0010,0.0005,-0.0008,0.0093,-0.0364,0
28,0,0,2026-06-16 17:28:47.546,0.0010,0.0005,-0.0007,0.0093,-0.0364,0
29,0,0,2026-06-16 17:28:47.569,0.0010,0.0005,-0.0008,0.0092,-0.0368,0
30,0,0,2026-06-16 17:28:47.580,0.0010,0.0005,-0.0008,0.0093,-0.0366,0
31,0,0,2026-06-16 17:28:47.590,0.0010,0.0005,-0.0008,0.0093,-0.0348,0
32,0,0,2026-06-16 17:28:47.613,0.0009,0.0004,-0.0008,0.0100,-0.0348,0
33,0,0,2026-06-16 17:28:47.635,0.0010,0.0004,-0.0007,0.0113,-0.0351,0
34,0,0,2026-06-16 17:28:47.647,0.0010,0.0004,-0.0006,0.0090,-0.0343,0
35,0,0,2026-06-16 17:28:47.657,0.0010,0.0004,-0.0006,0.0090,-0.0343,0
