SessionId,RecordingId,Condition,EventType,EventId,StartAbsTime,EndAbsTime,StartElapsedSec,EndElapsedSec,DurationMs,StartSampleIndex,EndSampleIndex,MaxClosure,MeanClosure,IsAccepted,TrackingInterrupted,EndReason
20260803_191347_964,1,Unspecified,Blink,1,2026-08-03T19:14:00.4253665+09:00,2026-08-03T19:14:00.4923665+09:00,12.461167,12.527736,66.569,35,39,0.877263,0.536491,1,0,EyesOpened
20260803_191347_964,1,Unspecified,Blink,2,2026-08-03T19:14:00.6253665+09:00,2026-08-03T19:14:00.7033665+09:00,12.661275,12.739006,77.731,47,52,0.789747,0.549474,1,0,EyesOpened
20260803_191347_964,1,Unspecified,Blink,3,2026-08-03T19:14:00.8033665+09:00,2026-08-03T19:14:00.8923665+09:00,12.839056,12.927842,88.786,58,63,0.956314,0.591987,1,0,EyesOpened
20260803_191347_964,1,Unspecified,Blink,4,2026-08-03T19:14:02.1593665+09:00,2026-08-03T19:14:02.2703665+09:00,14.194562,14.305526,110.964,139,146,0.767818,0.517948,1,0,EyesOpened
20260803_191347_964,1,Unspecified,Blink,5,2026-08-03T19:14:02.7923665+09:00,2026-08-03T19:14:02.8593665+09:00,14.827770,14.894718,66.948,177,181,0.876232,0.737307,1,0,EyesOpened
20260803_191347_964,1,Unspecified,Blink,6,2026-08-03T19:14:03.2703665+09:00,2026-08-03T19:14:03.3703665+09:00,15.305664,15.405601,99.937,206,212,0.496073,0.384814,1,0,EyesOpened
20260803_191347_964,1,Unspecified,Blink,7,2026-08-03T19:14:06.6033665+09:00,2026-08-03T19:14:06.7703665+09:00,18.639044,18.805815,166.771,406,416,0.932115,0.563865,1,0,EyesOpened
20260803_191347_964,1,Unspecified,Blink,8,2026-08-03T19:14:06.8363665+09:00,2026-08-03T19:14:08.7343665+09:00,18.872403,20.770261,1897.859,420,495,0.659833,0.422990,1,1,RecordingStopped
20260803_191347_964,1,Unspecified,TrackingFailure,9,2026-08-03T19:14:08.7093665+09:00,2026-08-03T19:14:08.7343665+09:00,20.744685,20.770261,25.577,494,495,,,,1,RecordingStopped
