SessionId,RecordingId,Condition,EventType,EventId,StartAbsTime,EndAbsTime,StartElapsedSec,EndElapsedSec,DurationMs,StartSampleIndex,EndSampleIndex,MaxClosure,MeanClosure,IsAccepted,TrackingInterrupted,EndReason
20260721_124727_296,1,Unspecified,Blink,1,2026-07-21T12:47:41.9344393+09:00,2026-07-21T12:47:42.0674393+09:00,14.638157,14.771405,133.248,168,176,0.492971,0.414842,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,2,2026-07-21T12:47:42.9344393+09:00,2026-07-21T12:47:43.0564393+09:00,15.638027,15.760307,122.280,228,235,0.876033,0.461828,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,3,2026-07-21T12:47:43.1234393+09:00,2026-07-21T12:47:43.2014393+09:00,15.827022,15.904743,77.721,239,244,0.857572,0.706342,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,4,2026-07-21T12:47:44.7234393+09:00,2026-07-21T12:47:44.9014393+09:00,17.427069,17.604774,177.705,335,346,0.928034,0.807485,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,5,2026-07-21T12:47:45.7234393+09:00,2026-07-21T12:47:45.8674393+09:00,18.427013,18.571442,144.430,395,404,0.947952,0.843538,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,6,2026-07-21T12:47:46.1014393+09:00,2026-07-21T12:47:46.2234393+09:00,18.804767,18.926648,121.881,418,425,0.922565,0.804431,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,7,2026-07-21T12:47:46.2784393+09:00,2026-07-21T12:47:46.4344393+09:00,18.982210,19.137578,155.367,429,438,0.931049,0.658396,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,8,2026-07-21T12:47:47.5894393+09:00,2026-07-21T12:47:47.7014393+09:00,20.293411,20.404753,111.342,507,514,0.841223,0.705895,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,9,2026-07-21T12:47:48.1894393+09:00,2026-07-21T12:47:48.2674393+09:00,20.893286,20.971296,78.011,543,548,0.864154,0.509605,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,10,2026-07-21T12:47:48.9344393+09:00,2026-07-21T12:47:49.0344393+09:00,21.638040,21.737801,99.761,588,594,0.945036,0.573727,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,11,2026-07-21T12:47:49.7344393+09:00,2026-07-21T12:47:49.7894393+09:00,22.437512,22.493065,55.553,636,639,0.909711,0.718405,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,12,2026-07-21T12:47:50.8234393+09:00,2026-07-21T12:47:51.0234393+09:00,23.526903,23.726793,199.890,701,713,0.982345,0.726783,1,0,EyesOpened
20260721_124727_296,1,Unspecified,Blink,13,2026-07-21T12:47:51.1344393+09:00,2026-07-21T12:47:51.4564393+09:00,23.837755,24.160139,322.384,720,739,0.696512,0.580592,1,0,EyesOpened
