SessionId,RecordingId,Condition,AbsTime,ElapsedSec,EventType,Details
20260821_170411_847,1,Unspecified,2026-08-21T17:05:26.1884105+09:00,74.340948,SessionCreated,
20260821_170411_847,1,Unspecified,2026-08-21T17:05:26.1894105+09:00,74.342185,RecordingStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:06:23.7894105+09:00,131.942357,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:06:26.7874105+09:00,134.940455,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:07:26.7934105+09:00,194.946377,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:07:29.7924105+09:00,197.944759,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:08:29.8094105+09:00,257.962386,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:08:32.8224105+09:00,260.975262,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:09:32.8274105+09:00,320.980268,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:09:35.8404105+09:00,323.993499,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:10:35.8584105+09:00,384.011217,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:10:38.8714105+09:00,387.024276,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:11:38.8764105+09:00,447.028624,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:11:41.8884105+09:00,450.041432,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:12:41.9074105+09:00,510.059798,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:12:44.9064105+09:00,513.058967,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:13:44.9244105+09:00,573.076844,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:13:47.9234105+09:00,576.076189,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:14:47.9414105+09:00,636.093867,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:14:50.9404105+09:00,639.093443,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:15:50.9584105+09:00,699.111452,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:15:53.9724105+09:00,702.124749,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:16:53.9744105+09:00,762.127346,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:16:56.9884105+09:00,765.140829,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:17:56.9934105+09:00,825.146123,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:18:00.0054105+09:00,828.158471,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:19:00.0104105+09:00,888.163183,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:19:03.0234105+09:00,891.175963,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:20:03.0284105+09:00,951.180675,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:20:06.0414105+09:00,954.193588,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:21:06.0454105+09:00,1014.197638,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:21:09.0584105+09:00,1017.210637,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:22:09.0624105+09:00,1077.215095,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:22:12.0754105+09:00,1080.227688,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:23:12.0794105+09:00,1140.232372,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:23:15.0924105+09:00,1143.245039,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:24:15.0974105+09:00,1203.249942,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:24:18.0964105+09:00,1206.249230,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:25:18.1144105+09:00,1266.267026,DisturbanceStart,
20260821_170411_847,1,Unspecified,2026-08-21T17:25:21.1264105+09:00,1269.279402,DisturbanceEnd,
20260821_170411_847,1,Unspecified,2026-08-21T17:25:35.1254105+09:00,1283.278247,RecordingStop,
