SessionId,RecordingId,Condition,WindowIndex,WindowStartAbsTime,WindowEndAbsTime,WindowStartElapsedSec,WindowEndElapsedSec,SampleCount,ValidSampleCount,MeanGazeX,MeanGazeY,VarianceGazeX,VarianceGazeY,CovarianceXY,Dispersion,TrackingFailureCount
20260821_135807_715,1,Unspecified,0,2026-08-21T13:58:16.4389938+09:00,2026-08-21T13:58:16.9389938+09:00,8.722915,9.222915,30,30,-0.041463,0.012924,0.000034,0.000020,0.000020,0.007299,0
20260821_135807_715,1,Unspecified,1,2026-08-21T13:58:16.9389938+09:00,2026-08-21T13:58:17.4389938+09:00,9.222915,9.722915,30,30,-0.034970,0.000561,0.000330,0.000188,0.000099,0.022774,0
20260821_135807_715,1,Unspecified,2,2026-08-21T13:58:17.4389938+09:00,2026-08-21T13:58:17.9389938+09:00,9.722915,10.222915,30,30,-0.026517,0.005018,0.000128,0.000008,0.000019,0.011668,0
20260821_135807_715,1,Unspecified,3,2026-08-21T13:58:17.9389938+09:00,2026-08-21T13:58:18.4389938+09:00,10.222915,10.722915,30,30,-0.042614,-0.000133,0.000095,0.000026,-0.000015,0.010986,0
20260821_135807_715,1,Unspecified,4,2026-08-21T13:58:18.4389938+09:00,2026-08-21T13:58:18.9389938+09:00,10.722915,11.222915,30,30,-0.026314,0.007604,0.001392,0.000155,0.000435,0.039328,0
20260821_135807_715,1,Unspecified,5,2026-08-21T13:58:18.9389938+09:00,2026-08-21T13:58:19.4389938+09:00,11.222915,11.722915,30,30,0.050452,0.032579,0.000071,0.000035,0.000046,0.010306,0
20260821_135807_715,1,Unspecified,6,2026-08-21T13:58:19.4389938+09:00,2026-08-21T13:58:19.9389938+09:00,11.722915,12.222915,30,30,-0.004133,-0.006135,0.000078,0.000010,0.000023,0.009375,0
20260821_135807_715,1,Unspecified,7,2026-08-21T13:58:19.9389938+09:00,2026-08-21T13:58:20.4389938+09:00,12.222915,12.722915,30,30,-0.022724,-0.011753,0.000039,0.000013,0.000018,0.007237,0
20260821_135807_715,1,Unspecified,8,2026-08-21T13:58:20.4389938+09:00,2026-08-21T13:58:20.9389938+09:00,12.722915,13.222915,30,30,0.056921,-0.008868,0.011799,0.000077,-0.000672,0.108977,0
20260821_135807_715,1,Unspecified,9,2026-08-21T13:58:20.9389938+09:00,2026-08-21T13:58:21.4389938+09:00,13.222915,13.722915,30,30,0.105248,-0.012530,0.009860,0.000026,-0.000290,0.099430,0
20260821_135807_715,1,Unspecified,10,2026-08-21T13:58:21.4389938+09:00,2026-08-21T13:58:21.9389938+09:00,13.722915,14.222915,30,30,-0.011044,-0.001193,0.000020,0.000055,0.000015,0.008631,0
20260821_135807_715,1,Unspecified,11,2026-08-21T13:58:21.9389938+09:00,2026-08-21T13:58:22.4389938+09:00,14.222915,14.722915,30,30,-0.013989,0.008302,0.000055,0.000005,-0.000013,0.007761,0
20260821_135807_715,1,Unspecified,12,2026-08-21T13:58:22.4389938+09:00,2026-08-21T13:58:22.9389938+09:00,14.722915,15.222915,30,30,-0.012176,0.004762,0.000166,0.000055,-0.000066,0.014838,0
20260821_135807_715,1,Unspecified,13,2026-08-21T13:58:22.9389938+09:00,2026-08-21T13:58:23.4389938+09:00,15.222915,15.722915,30,30,-0.006240,0.004531,0.000010,0.000003,-0.000002,0.003600,0
20260821_135807_715,1,Unspecified,14,2026-08-21T13:58:23.4389938+09:00,2026-08-21T13:58:23.9389938+09:00,15.722915,16.222915,30,30,-0.006324,0.005837,0.000006,0.000001,0.000002,0.002724,0
20260821_135807_715,1,Unspecified,15,2026-08-21T13:58:23.9389938+09:00,2026-08-21T13:58:24.4389938+09:00,16.222915,16.722915,30,30,-0.005735,0.008329,0.000003,0.000002,-0.000001,0.002347,0
20260821_135807_715,1,Unspecified,16,2026-08-21T13:58:24.4389938+09:00,2026-08-21T13:58:24.9389938+09:00,16.722915,17.222915,30,30,-0.012727,0.010159,0.000111,0.000142,0.000012,0.015932,0
20260821_135807_715,1,Unspecified,17,2026-08-21T13:58:24.9389938+09:00,2026-08-21T13:58:25.4389938+09:00,17.222915,17.722915,30,30,-0.022512,0.014186,0.000197,0.000490,-0.000138,0.026206,0
20260821_135807_715,1,Unspecified,18,2026-08-21T13:58:25.4389938+09:00,2026-08-21T13:58:25.9389938+09:00,17.722915,18.222915,30,30,-0.018776,0.007643,0.000050,0.000158,-0.000074,0.014427,0
20260821_135807_715,1,Unspecified,19,2026-08-21T13:58:25.9389938+09:00,2026-08-21T13:58:26.4389938+09:00,18.222915,18.722915,30,30,-0.010095,0.002961,0.000008,0.000003,0.000000,0.003301,0
20260821_135807_715,1,Unspecified,20,2026-08-21T13:58:26.4389938+09:00,2026-08-21T13:58:26.9389938+09:00,18.722915,19.222915,30,30,-0.006585,0.006034,0.000029,0.000015,0.000007,0.006653,0
20260821_135807_715,1,Unspecified,21,2026-08-21T13:58:26.9389938+09:00,2026-08-21T13:58:27.4389938+09:00,19.222915,19.722915,30,30,-0.012985,0.014475,0.000114,0.000009,0.000013,0.011059,0
20260821_135807_715,1,Unspecified,22,2026-08-21T13:58:27.4389938+09:00,2026-08-21T13:58:27.9389938+09:00,19.722915,20.222915,30,30,-0.029550,0.012662,0.000117,0.000003,-0.000006,0.010943,0
20260821_135807_715,1,Unspecified,23,2026-08-21T13:58:27.9389938+09:00,2026-08-21T13:58:28.4389938+09:00,20.222915,20.722915,30,30,-0.047736,0.008103,0.000003,0.000003,0.000001,0.002533,0
20260821_135807_715,1,Unspecified,24,2026-08-21T13:58:28.4389938+09:00,2026-08-21T13:58:28.9389938+09:00,20.722915,21.222915,30,30,-0.033897,0.005864,0.000240,0.000007,-0.000032,0.015692,0
20260821_135807_715,1,Unspecified,25,2026-08-21T13:58:28.9389938+09:00,2026-08-21T13:58:29.4389938+09:00,21.222915,21.722915,30,30,-0.009615,0.005702,0.000063,0.000008,0.000021,0.008430,0
20260821_135807_715,1,Unspecified,26,2026-08-21T13:58:29.4389938+09:00,2026-08-21T13:58:29.9389938+09:00,21.722915,22.222915,30,30,-0.006287,0.008759,0.000053,0.000006,0.000016,0.007689,0
20260821_135807_715,1,Unspecified,27,2026-08-21T13:58:29.9389938+09:00,2026-08-21T13:58:30.4389938+09:00,22.222915,22.722915,30,30,-0.021005,0.005945,0.000036,0.000003,0.000008,0.006232,0
20260821_135807_715,1,Unspecified,28,2026-08-21T13:58:30.4389938+09:00,2026-08-21T13:58:30.9389938+09:00,22.722915,23.222915,30,30,-0.014222,-0.000605,0.000039,0.000049,-0.000003,0.009382,0
