FrameIndex,Block,Trial,AbsTime,HeadDeltaX,HeadDeltaY,HeadDeltaZ,GazeCorrX,GazeCorrY,IsBlink
0,0,0,2026-06-19 16:10:08.475,0.0002,-0.0001,-0.0001,0.0293,-0.0244,0
1,0,0,2026-06-19 16:10:08.482,0.0004,-0.0002,-0.0002,0.0294,-0.0242,0
2,0,0,2026-06-19 16:10:08.507,0.0007,-0.0003,-0.0002,0.0294,-0.0239,0
3,0,0,2026-06-19 16:10:08.518,0.0008,-0.0004,-0.0002,0.0295,-0.0237,0
4,0,0,2026-06-19 16:10:08.539,0.0011,-0.0005,-0.0002,0.0295,-0.0236,0
5,0,0,2026-06-19 16:10:08.551,0.0012,-0.0003,0.0000,0.0295,-0.0235,0
6,0,0,2026-06-19 16:10:08.572,0.0012,0.0002,0.0007,0.0295,-0.0234,0
7,0,0,2026-06-19 16:10:08.584,0.0009,0.0010,0.0017,0.0295,-0.0233,0
8,0,0,2026-06-19 16:10:08.605,0.0007,0.0010,0.0025,0.0295,-0.0237,0
9,0,0,2026-06-19 16:10:08.617,0.0006,0.0008,0.0028,0.0294,-0.0237,0
10,0,0,2026-06-19 16:10:08.638,0.0001,0.0007,0.0036,0.0294,-0.0238,0
11,0,0,2026-06-19 16:10:08.650,-0.0002,0.0007,0.0041,0.0294,-0.0238,0
12,0,0,2026-06-19 16:10:08.672,-0.0010,0.0005,0.0051,0.0295,-0.0237,0
13,0,0,2026-06-19 16:10:08.684,-0.0013,0.0005,0.0056,0.0295,-0.0237,0
14,0,0,2026-06-19 16:10:08.705,-0.0020,0.0003,0.0066,0.0295,-0.0238,0
15,0,0,2026-06-19 16:10:08.716,-0.0023,0.0003,0.0072,0.0294,-0.0240,0
16,0,0,2026-06-19 16:10:08.738,-0.0030,0.0000,0.0082,0.0293,-0.0242,0
17,0,0,2026-06-19 16:10:08.749,-0.0035,-0.0004,0.0086,0.0293,-0.0243,0
18,0,0,2026-06-19 16:10:08.773,-0.0042,-0.0011,0.0093,0.0293,-0.0247,0
19,0,0,2026-06-19 16:10:08.783,-0.0046,-0.0013,0.0096,0.0292,-0.0249,0
20,0,0,2026-06-19 16:10:08.805,-0.0053,-0.0015,0.0103,0.0291,-0.0254,0
21,0,0,2026-06-19 16:10:08.817,-0.0057,-0.0017,0.0106,0.0290,-0.0256,0
22,0,0,2026-06-19 16:10:08.838,-0.0064,-0.0019,0.0110,0.0289,-0.0260,0
23,0,0,2026-06-19 16:10:08.849,-0.0067,-0.0020,0.0110,0.0288,-0.0263,0
24,0,0,2026-06-19 16:10:08.872,-0.0075,-0.0022,0.0110,0.0287,-0.0265,0
25,0,0,2026-06-19 16:10:08.894,-0.0082,-0.0024,0.0110,0.0287,-0.0267,0
26,0,0,2026-06-19 16:10:08.906,-0.0087,-0.0023,0.0111,0.0286,-0.0267,0
27,0,0,2026-06-19 16:10:08.928,-0.0095,-0.0022,0.0112,0.0286,-0.0267,0
28,0,0,2026-06-19 16:10:08.938,-0.0099,-0.0021,0.0110,0.0286,-0.0268,0
29,0,0,2026-06-19 16:10:08.961,-0.0107,-0.0023,0.0107,0.0285,-0.0270,0
30,0,0,2026-06-19 16:10:08.972,-0.0111,-0.0024,0.0105,0.0285,-0.0272,0
31,0,0,2026-06-19 16:10:08.994,-0.0119,-0.0025,0.0101,0.0283,-0.0274,0
32,0,0,2026-06-19 16:10:09.005,-0.0122,-0.0023,0.0100,0.0284,-0.0275,0
33,0,0,2026-06-19 16:10:09.028,-0.0128,-0.0023,0.0097,0.0283,-0.0278,0
34,0,0,2026-06-19 16:10:09.039,-0.0131,-0.0023,0.0095,0.0282,-0.0280,0
35,0,0,2026-06-19 16:10:09.061,-0.0135,-0.0025,0.0091,0.0281,-0.0283,0
36,0,0,2026-06-19 16:10:09.072,-0.0137,-0.0024,0.0089,0.0280,-0.0284,0
37,0,0,2026-06-19 16:10:09.082,-0.0138,-0.0023,0.0089,0.0280,-0.0286,0
38,0,0,2026-06-19 16:10:09.106,-0.0141,-0.0020,0.0089,0.0279,-0.0288,0
39,0,0,2026-06-19 16:10:09.128,-0.0144,-0.0019,0.0087,0.0279,-0.0289,0
40,0,0,2026-06-19 16:10:09.138,-0.0145,-0.0019,0.0087,0.0279,-0.0289,0
41,0,0,2026-06-19 16:10:09.161,-0.0145,-0.0019,0.0086,0.0279,-0.0289,0
42,0,0,2026-06-19 16:10:09.172,-0.0144,-0.0019,0.0086,0.0279,-0.0289,0
43,0,0,2026-06-19 16:10:09.194,-0.0142,-0.0020,0.0086,0.0280,-0.0287,0
44,0,0,2026-06-19 16:10:09.206,-0.0142,-0.0014,0.0086,0.0282,-0.0279,0
45,0,0,2026-06-19 16:10:09.228,-0.0135,0.0001,0.0086,0.0283,-0.0276,0
46,0,0,2026-06-19 16:10:09.238,-0.0134,-0.0012,0.0083,0.0284,-0.0273,0
47,0,0,2026-06-19 16:10:09.261,-0.0133,-0.0003,0.0088,0.0287,-0.0266,0
48,0,0,2026-06-19 16:10:09.272,-0.0132,-0.0002,0.0087,0.0287,-0.0263,0
49,0,0,2026-06-19 16:10:09.294,-0.0130,-0.0005,0.0085,0.0288,-0.0263,0
50,0,0,2026-06-19 16:10:09.306,-0.0128,-0.0006,0.0084,0.0287,-0.0264,0
51,0,0,2026-06-19 16:10:09.328,-0.0124,-0.0007,0.0084,0.0285,-0.0270,0
52,0,0,2026-06-19 16:10:09.338,-0.0120,-0.0006,0.0084,0.0285,-0.0272,0
53,0,0,2026-06-19 16:10:09.350,-0.0119,-0.0007,0.0083,0.0285,-0.0272,0
54,0,0,2026-06-19 16:10:09.372,-0.0115,-0.0008,0.0084,0.0285,-0.0272,0
55,0,0,2026-06-19 16:10:09.393,-0.0112,-0.0010,0.0086,0.0285,-0.0272,0
56,0,0,2026-06-19 16:10:09.405,-0.0111,-0.0010,0.0086,0.0285,-0.0271,0
57,0,0,2026-06-19 16:10:09.428,-0.0110,-0.0010,0.0090,0.0285,-0.0269,0
58,0,0,2026-06-19 16:10:09.439,-0.0108,-0.0011,0.0091,0.0285,-0.0272,0
59,0,0,2026-06-19 16:10:09.461,-0.0105,-0.0013,0.0094,0.0284,-0.0273,0
60,0,0,2026-06-19 16:10:09.472,-0.0105,-0.0013,0.0096,0.0285,-0.0270,0
61,0,0,2026-06-19 16:10:09.483,-0.0104,-0.0015,0.0097,0.0285,-0.0271,0
62,0,0,2026-06-19 16:10:09.505,-0.0103,-0.0017,0.0101,0.0285,-0.0271,0
63,0,0,2026-06-19 16:10:09.517,-0.0102,-0.0018,0.0102,0.0285,-0.0272,0
64,0,0,2026-06-19 16:10:09.538,-0.0095,-0.0018,0.0104,0.0285,-0.0272,0
65,0,0,2026-06-19 16:10:09.561,-0.0090,-0.0023,0.0107,0.0284,-0.0275,0
66,0,0,2026-06-19 16:10:09.572,-0.0090,-0.0024,0.0109,0.0286,-0.0274,0
67,0,0,2026-06-19 16:10:09.594,-0.0086,-0.0024,0.0111,0.0286,-0.0269,0
68,0,0,2026-06-19 16:10:09.605,-0.0083,-0.0024,0.0112,0.0287,-0.0267,0
69,0,1,2026-06-19 16:10:09.628,-0.0075,-0.0022,0.0114,0.0288,-0.0262,0
70,0,1,2026-06-19 16:10:09.638,-0.0071,-0.0022,0.0114,0.0288,-0.0261,0
71,0,1,2026-06-19 16:10:09.661,-0.0063,-0.0020,0.0115,0.0289,-0.0259,0
72,0,1,2026-06-19 16:10:09.672,-0.0059,-0.0019,0.0115,0.0289,-0.0259,0
73,0,1,2026-06-19 16:10:09.683,-0.0054,-0.0018,0.0116,0.0289,-0.0258,0
74,0,1,2026-06-19 16:10:09.705,-0.0046,-0.0015,0.0118,0.0290,-0.0255,0
75,0,1,2026-06-19 16:10:09.728,-0.0039,-0.0011,0.0121,0.0291,-0.0252,0
