SessionId,RecordingId,Condition,AbsTime,ElapsedSec,EventType,Details
20260806_192155_881,1,Unspecified,2026-08-06T19:22:28.2313273+09:00,32.350156,SessionCreated,
20260806_192155_881,1,Unspecified,2026-08-06T19:22:28.2323273+09:00,32.351474,RecordingStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:23:14.3963273+09:00,78.515334,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:23:17.4033273+09:00,81.522291,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:24:17.4083273+09:00,141.527225,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:24:20.4153273+09:00,144.533832,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:25:20.4193273+09:00,204.538210,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:25:23.4263273+09:00,207.544669,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:26:23.4293273+09:00,267.548292,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:26:26.4373273+09:00,270.556043,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:27:26.4403273+09:00,330.559434,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:27:29.4483273+09:00,333.566795,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:28:29.4533273+09:00,393.571681,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:28:32.4593273+09:00,396.578308,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:29:32.4783273+09:00,456.597080,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:29:35.4853273+09:00,459.603921,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:30:35.4893273+09:00,519.608385,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:30:38.4963273+09:00,522.614915,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:31:38.5013273+09:00,582.620201,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:31:41.5083273+09:00,585.626667,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:32:41.5123273+09:00,645.631352,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:32:44.5193273+09:00,648.637917,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:33:44.5243273+09:00,708.643108,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:33:47.5313273+09:00,711.649684,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:34:47.5353273+09:00,771.654167,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:34:50.5423273+09:00,774.660611,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:35:50.5473273+09:00,834.665613,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:35:53.5533273+09:00,837.672220,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:36:53.5583273+09:00,897.676935,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:36:56.5643273+09:00,900.683425,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:37:56.5693273+09:00,960.688190,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:37:59.5763273+09:00,963.694636,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:38:59.5803273+09:00,1023.699088,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:39:02.5873273+09:00,1026.706013,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:40:02.5923273+09:00,1086.710872,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:40:05.5993273+09:00,1089.717685,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:41:05.6033273+09:00,1149.722067,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:41:08.6103273+09:00,1152.728906,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:42:08.6143273+09:00,1212.732931,DisturbanceStart,
20260806_192155_881,1,Unspecified,2026-08-06T19:42:11.6203273+09:00,1215.739063,DisturbanceEnd,
20260806_192155_881,1,Unspecified,2026-08-06T19:42:37.5663273+09:00,1241.684907,RecordingStop,
