SessionId,RecordingId,Condition,AbsTime,ElapsedSec,EventType,Details
20260821_150718_098,1,Unspecified,2026-08-21T15:07:42.6041405+09:00,24.506339,SessionCreated,
20260821_150718_098,1,Unspecified,2026-08-21T15:07:42.6051405+09:00,24.507443,RecordingStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:08:25.1251405+09:00,67.026811,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:08:28.1381405+09:00,70.039734,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:09:28.1421405+09:00,130.043717,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:09:31.1541405+09:00,133.056287,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:10:31.1591405+09:00,193.060696,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:10:34.1721405+09:00,196.073545,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:11:34.1761405+09:00,256.077714,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:11:37.1751405+09:00,259.077242,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:12:37.1791405+09:00,319.080736,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:12:40.1921405+09:00,322.093718,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:13:40.1961405+09:00,382.098327,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:13:43.2101405+09:00,385.111520,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:14:43.2131405+09:00,445.115414,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:14:46.2271405+09:00,448.128748,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:15:46.2311405+09:00,508.133397,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:15:49.2441405+09:00,511.146140,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:16:49.2481405+09:00,571.150261,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:16:52.2611405+09:00,574.163264,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:17:52.2641405+09:00,634.166466,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:17:55.2781405+09:00,637.179663,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:18:55.2831405+09:00,697.184632,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:18:58.2951405+09:00,700.197420,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:19:58.3001405+09:00,760.201810,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:20:01.3131405+09:00,763.214617,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:21:01.3171405+09:00,823.219143,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:21:04.3161405+09:00,826.218217,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:22:04.3211405+09:00,886.222521,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:22:07.3341405+09:00,889.235670,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:23:07.3381405+09:00,949.239868,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:23:10.3511405+09:00,952.252936,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:24:10.3551405+09:00,1012.257419,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:24:13.3681405+09:00,1015.270284,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:25:13.3731405+09:00,1075.274735,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:25:16.3851405+09:00,1078.286897,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:26:16.3901405+09:00,1138.292079,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:26:19.4031405+09:00,1141.304643,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:27:19.4071405+09:00,1201.309005,DisturbanceStart,
20260821_150718_098,1,Unspecified,2026-08-21T15:27:22.4201405+09:00,1204.322343,DisturbanceEnd,
20260821_150718_098,1,Unspecified,2026-08-21T15:27:51.8941405+09:00,1233.796214,RecordingStop,
