FrameIndex,Block,Trial,AbsTime,HeadDeltaX,HeadDeltaY,HeadDeltaZ,GazeCorrX,GazeCorrY,IsBlink
0,0,0,2026-06-19 14:22:09.244,0.0000,0.0000,-0.0001,-0.0003,0.0000,0
1,0,0,2026-06-19 14:22:09.254,0.0000,0.0001,-0.0001,-0.0006,-0.0001,0
2,0,0,2026-06-19 14:22:09.276,0.0001,0.0004,-0.0002,-0.0012,-0.0007,0
3,0,0,2026-06-19 14:22:09.287,0.0001,0.0005,-0.0003,-0.0015,-0.0007,0
4,0,0,2026-06-19 14:22:09.309,0.0002,0.0006,-0.0005,-0.0021,-0.0006,0
5,0,0,2026-06-19 14:22:09.320,0.0003,0.0006,-0.0007,-0.0025,-0.0005,0
6,0,0,2026-06-19 14:22:09.342,0.0004,0.0006,-0.0010,-0.0030,0.0000,0
7,0,0,2026-06-19 14:22:09.354,0.0005,0.0006,-0.0012,-0.0033,0.0001,0
8,0,0,2026-06-19 14:22:09.375,0.0007,0.0007,-0.0015,-0.0035,-0.0004,0
9,0,0,2026-06-19 14:22:09.386,0.0008,0.0008,-0.0017,-0.0036,-0.0007,0
10,0,0,2026-06-19 14:22:09.409,0.0009,0.0009,-0.0020,-0.0037,-0.0009,0
11,0,0,2026-06-19 14:22:09.420,0.0009,0.0009,-0.0022,-0.0037,-0.0007,0
12,0,0,2026-06-19 14:22:09.442,0.0009,0.0009,-0.0028,-0.0034,-0.0001,0
13,0,0,2026-06-19 14:22:09.465,0.0006,0.0009,-0.0033,-0.0031,-0.0004,0
14,0,0,2026-06-19 14:22:09.476,0.0006,0.0009,-0.0035,-0.0028,-0.0007,0
15,0,0,2026-06-19 14:22:09.498,0.0006,0.0010,-0.0039,-0.0026,-0.0014,0
16,0,0,2026-06-19 14:22:09.508,0.0007,0.0010,-0.0042,-0.0024,-0.0014,0
17,0,0,2026-06-19 14:22:09.520,0.0006,0.0010,-0.0045,-0.0024,-0.0013,0
18,0,0,2026-06-19 14:22:09.542,0.0005,0.0010,-0.0051,-0.0023,-0.0012,0
19,0,0,2026-06-19 14:22:09.565,0.0004,0.0012,-0.0056,-0.0020,-0.0011,0
20,0,0,2026-06-19 14:22:09.576,0.0003,0.0012,-0.0059,-0.0018,-0.0012,0
21,0,0,2026-06-19 14:22:09.597,0.0002,0.0014,-0.0065,-0.0017,-0.0013,0
