SessionId,RecordingId,Condition,WindowIndex,WindowStartAbsTime,WindowEndAbsTime,WindowStartElapsedSec,WindowEndElapsedSec,SampleCount,ValidSampleCount,MeanGazeX,MeanGazeY,VarianceGazeX,VarianceGazeY,CovarianceXY,Dispersion,TrackingFailureCount
20260721_152946_388,1,Unspecified,0,2026-07-21T15:30:08.9638296+09:00,2026-07-21T15:30:09.4638296+09:00,22.574662,23.074662,30,30,-0.016735,-0.188464,0.000151,0.001303,-0.000402,0.038136,0
20260721_152946_388,1,Unspecified,1,2026-07-21T15:30:09.4638296+09:00,2026-07-21T15:30:09.9638296+09:00,23.074662,23.574662,30,30,-0.012615,-0.036429,0.000741,0.001073,0.000883,0.042581,0
20260721_152946_388,1,Unspecified,2,2026-07-21T15:30:09.9638296+09:00,2026-07-21T15:30:10.4638296+09:00,23.574662,24.074662,30,30,0.018476,0.009300,0.000015,0.000046,0.000022,0.007848,0
20260721_152946_388,1,Unspecified,3,2026-07-21T15:30:10.4638296+09:00,2026-07-21T15:30:10.9638296+09:00,24.074662,24.574662,30,30,0.013123,0.038470,0.000035,0.000142,-0.000014,0.013275,0
20260721_152946_388,1,Unspecified,4,2026-07-21T15:30:10.9638296+09:00,2026-07-21T15:30:11.4638296+09:00,24.574662,25.074662,30,30,0.002580,0.048979,0.000008,0.000034,0.000009,0.006518,0
20260721_152946_388,1,Unspecified,5,2026-07-21T15:30:11.4638296+09:00,2026-07-21T15:30:11.9638296+09:00,25.074662,25.574662,30,30,0.026856,0.055325,0.000687,0.000993,-0.000216,0.040996,0
20260721_152946_388,1,Unspecified,6,2026-07-21T15:30:11.9638296+09:00,2026-07-21T15:30:12.4638296+09:00,25.574662,26.074662,30,30,0.017054,-0.074312,0.005153,0.002659,0.002235,0.088388,0
20260721_152946_388,1,Unspecified,7,2026-07-21T15:30:12.4638296+09:00,2026-07-21T15:30:12.9638296+09:00,26.074662,26.574662,30,30,-0.093367,0.010055,0.003301,0.001273,0.000994,0.067627,0
20260721_152946_388,1,Unspecified,8,2026-07-21T15:30:12.9638296+09:00,2026-07-21T15:30:13.4638296+09:00,26.574662,27.074662,30,30,0.113194,-0.050558,0.007080,0.002500,-0.002907,0.097879,0
20260721_152946_388,1,Unspecified,9,2026-07-21T15:30:13.4638296+09:00,2026-07-21T15:30:13.9638296+09:00,27.074662,27.574662,30,30,0.155882,-0.080579,0.010337,0.000559,-0.002129,0.104380,0
20260721_152946_388,1,Unspecified,10,2026-07-21T15:30:13.9638296+09:00,2026-07-21T15:30:14.4638296+09:00,27.574662,28.074662,30,30,-0.209536,-0.070807,0.020788,0.001018,0.003209,0.147671,0
20260721_152946_388,1,Unspecified,11,2026-07-21T15:30:14.4638296+09:00,2026-07-21T15:30:14.9638296+09:00,28.074662,28.574662,30,30,-0.162008,-0.063321,0.000792,0.000278,-0.000110,0.032723,0
20260721_152946_388,1,Unspecified,12,2026-07-21T15:30:14.9638296+09:00,2026-07-21T15:30:15.4638296+09:00,28.574662,29.074662,30,30,-0.218176,-0.035907,0.004034,0.001325,0.002299,0.073207,0
20260721_152946_388,1,Unspecified,13,2026-07-21T15:30:15.4638296+09:00,2026-07-21T15:30:15.9638296+09:00,29.074662,29.574662,30,30,-0.105868,0.028182,0.000784,0.000052,0.000092,0.028908,0
20260721_152946_388,1,Unspecified,14,2026-07-21T15:30:15.9638296+09:00,2026-07-21T15:30:16.4638296+09:00,29.574662,30.074662,30,30,0.042815,-0.000345,0.005970,0.000766,-0.001281,0.082070,0
20260721_152946_388,1,Unspecified,15,2026-07-21T15:30:16.4638296+09:00,2026-07-21T15:30:16.9638296+09:00,30.074662,30.574662,30,30,-0.007661,-0.056033,0.000150,0.004357,0.000389,0.067133,0
20260721_152946_388,1,Unspecified,16,2026-07-21T15:30:16.9638296+09:00,2026-07-21T15:30:17.4638296+09:00,30.574662,31.074662,30,30,0.012133,-0.069840,0.001359,0.007226,0.003078,0.092656,0
20260721_152946_388,1,Unspecified,17,2026-07-21T15:30:17.4638296+09:00,2026-07-21T15:30:17.9638296+09:00,31.074662,31.574662,30,30,0.008411,0.029125,0.001117,0.000115,-0.000349,0.035106,0
20260721_152946_388,1,Unspecified,18,2026-07-21T15:30:17.9638296+09:00,2026-07-21T15:30:18.4638296+09:00,31.574662,32.074662,30,30,-0.015265,0.031506,0.000001,0.000002,0.000000,0.001634,0
20260721_152946_388,1,Unspecified,19,2026-07-21T15:30:18.4638296+09:00,2026-07-21T15:30:18.9638296+09:00,32.074662,32.574662,30,30,-0.005179,-0.076786,0.000069,0.009530,-0.000576,0.097972,0
20260721_152946_388,1,Unspecified,20,2026-07-21T15:30:18.9638296+09:00,2026-07-21T15:30:19.4638296+09:00,32.574662,33.074662,30,30,0.006448,-0.053688,0.000777,0.003390,-0.000700,0.064547,0
20260721_152946_388,1,Unspecified,21,2026-07-21T15:30:19.4638296+09:00,2026-07-21T15:30:19.9638296+09:00,33.074662,33.574662,30,30,-0.043784,0.041136,0.000019,0.000039,-0.000021,0.007579,0
20260721_152946_388,1,Unspecified,22,2026-07-21T15:30:19.9638296+09:00,2026-07-21T15:30:20.4638296+09:00,33.574662,34.074662,30,30,0.039078,0.033507,0.001830,0.000021,-0.000007,0.043013,0
20260721_152946_388,1,Unspecified,23,2026-07-21T15:30:20.4638296+09:00,2026-07-21T15:30:20.9638296+09:00,34.074662,34.574662,30,30,0.013988,0.029153,0.000060,0.000001,-0.000007,0.007824,0
20260721_152946_388,1,Unspecified,24,2026-07-21T15:30:20.9638296+09:00,2026-07-21T15:30:21.4638296+09:00,34.574662,35.074662,30,30,0.011761,0.029195,0.000000,0.000000,0.000000,0.000293,0
20260721_152946_388,1,Unspecified,25,2026-07-21T15:30:21.4638296+09:00,2026-07-21T15:30:21.9638296+09:00,35.074662,35.574662,30,30,0.013250,0.027932,0.000005,0.000000,-0.000001,0.002395,0
20260721_152946_388,1,Unspecified,26,2026-07-21T15:30:21.9638296+09:00,2026-07-21T15:30:22.4638296+09:00,35.574662,36.074662,30,30,0.014632,0.027662,0.000000,0.000000,0.000000,0.000590,0
20260721_152946_388,1,Unspecified,27,2026-07-21T15:30:22.4638296+09:00,2026-07-21T15:30:22.9638296+09:00,36.074662,36.574662,30,30,0.012411,0.029991,0.000000,0.000001,0.000000,0.000961,0
20260721_152946_388,1,Unspecified,28,2026-07-21T15:30:22.9638296+09:00,2026-07-21T15:30:23.4638296+09:00,36.574662,37.074662,30,30,0.012587,0.029629,0.000000,0.000000,0.000000,0.000419,0
20260721_152946_388,1,Unspecified,29,2026-07-21T15:30:23.4638296+09:00,2026-07-21T15:30:23.9638296+09:00,37.074662,37.574662,30,30,0.012482,0.029549,0.000000,0.000000,0.000000,0.000600,0
20260721_152946_388,1,Unspecified,30,2026-07-21T15:30:23.9638296+09:00,2026-07-21T15:30:24.4638296+09:00,37.574662,38.074662,30,30,0.014144,0.027011,0.000000,0.000000,0.000000,0.000615,0
20260721_152946_388,1,Unspecified,31,2026-07-21T15:30:24.4638296+09:00,2026-07-21T15:30:24.9638296+09:00,38.074662,38.574662,30,30,0.014374,0.025993,0.000000,0.000000,0.000000,0.000409,0
20260721_152946_388,1,Unspecified,32,2026-07-21T15:30:24.9638296+09:00,2026-07-21T15:30:25.4638296+09:00,38.574662,39.074662,30,30,0.012461,0.028233,0.000004,0.000005,-0.000004,0.002973,0
20260721_152946_388,1,Unspecified,33,2026-07-21T15:30:25.4638296+09:00,2026-07-21T15:30:25.9638296+09:00,39.074662,39.574662,30,30,0.007333,0.028601,0.000002,0.000001,0.000001,0.001649,0
20260721_152946_388,1,Unspecified,34,2026-07-21T15:30:25.9638296+09:00,2026-07-21T15:30:26.4638296+09:00,39.574662,40.074662,30,30,0.005950,0.028391,0.000000,0.000000,0.000000,0.000842,0
20260721_152946_388,1,Unspecified,35,2026-07-21T15:30:26.4638296+09:00,2026-07-21T15:30:26.9638296+09:00,40.074662,40.574662,30,30,0.007414,0.029599,0.000000,0.000000,0.000000,0.000493,0
20260721_152946_388,1,Unspecified,36,2026-07-21T15:30:26.9638296+09:00,2026-07-21T15:30:27.4638296+09:00,40.574662,41.074662,30,30,0.007974,0.030675,0.000000,0.000000,0.000000,0.000773,0
20260721_152946_388,1,Unspecified,37,2026-07-21T15:30:27.4638296+09:00,2026-07-21T15:30:27.9638296+09:00,41.074662,41.574662,30,30,0.010165,0.028125,0.000000,0.000012,-0.000002,0.003529,0
20260721_152946_388,1,Unspecified,38,2026-07-21T15:30:27.9638296+09:00,2026-07-21T15:30:28.4638296+09:00,41.574662,42.074662,30,30,0.008044,-0.008467,0.000001,0.000243,0.000013,0.015620,0
20260721_152946_388,1,Unspecified,39,2026-07-21T15:30:28.4638296+09:00,2026-07-21T15:30:28.4938296+09:00,42.074662,42.104575,1,1,0.006226,-0.026071,0.000000,0.000000,0.000000,0.000000,0
