SessionId,RecordingId,Condition,EventType,EventId,StartAbsTime,EndAbsTime,StartElapsedSec,EndElapsedSec,DurationMs,StartSampleIndex,EndSampleIndex,MaxClosure,MeanClosure,IsAccepted,TrackingInterrupted,EndReason
20260804_171814_576,1,Unspecified,Blink,1,2026-08-04T17:18:27.0263050+09:00,2026-08-04T17:18:27.6703050+09:00,12.449892,13.094428,644.536,90,129,0.996907,0.423278,1,0,EyesOpened
20260804_171814_576,1,Unspecified,Blink,2,2026-08-04T17:18:29.2593050+09:00,2026-08-04T17:18:29.3263050+09:00,14.682853,14.749634,66.781,224,228,0.620800,0.372834,1,0,EyesOpened
20260804_171814_576,1,Unspecified,Blink,3,2026-08-04T17:18:29.7253050+09:00,2026-08-04T17:18:34.3783050+09:00,15.149080,19.802094,4653.014,252,487,1.000000,0.819240,1,1,RecordingStopped
20260804_171814_576,1,Unspecified,TrackingFailure,4,2026-08-04T17:18:34.3583050+09:00,2026-08-04T17:18:34.3783050+09:00,19.781916,19.802094,20.178,486,487,,,,1,RecordingStopped
