SessionId,RecordingId,Condition,EventType,EventId,StartAbsTime,EndAbsTime,StartElapsedSec,EndElapsedSec,DurationMs,StartSampleIndex,EndSampleIndex,MaxClosure,MeanClosure,IsAccepted,TrackingInterrupted,EndReason
20260804_163742_531,1,Unspecified,Blink,1,2026-08-04T16:38:15.3743774+09:00,2026-08-04T16:38:18.1293774+09:00,32.843332,35.598493,2755.162,8,173,1.000000,0.861255,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,2,2026-08-04T16:38:20.8623774+09:00,2026-08-04T16:38:21.1623774+09:00,38.331443,38.631474,300.031,337,355,0.964712,0.874107,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,3,2026-08-04T16:38:22.5523774+09:00,2026-08-04T16:38:22.6073774+09:00,40.020812,40.076183,55.372,439,442,0.545674,0.413323,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,4,2026-08-04T16:38:22.7073774+09:00,2026-08-04T16:38:22.8293774+09:00,40.176005,40.298229,122.224,448,455,0.957623,0.660502,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,5,2026-08-04T16:38:24.9293774+09:00,2026-08-04T16:38:25.1293774+09:00,42.398373,42.598405,200.032,581,593,0.937588,0.760956,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,6,2026-08-04T16:38:26.7293774+09:00,2026-08-04T16:38:26.8293774+09:00,44.198287,44.298300,100.013,689,695,0.862779,0.705781,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,7,2026-08-04T16:38:26.9293774+09:00,2026-08-04T16:38:27.0293774+09:00,44.398249,44.498256,100.007,701,707,0.898020,0.587500,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,8,2026-08-04T16:38:29.3293774+09:00,2026-08-04T16:38:29.4293774+09:00,46.798358,46.898413,100.055,845,851,0.958878,0.824030,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,9,2026-08-04T16:38:29.6293774+09:00,2026-08-04T16:38:29.7073774+09:00,47.098324,47.176062,77.739,863,868,0.822434,0.591959,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,10,2026-08-04T16:38:32.8293774+09:00,2026-08-04T16:38:32.8963774+09:00,50.298195,50.365102,66.907,1055,1059,0.692302,0.561123,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,11,2026-08-04T16:38:34.6073774+09:00,2026-08-04T16:38:34.7293774+09:00,52.075999,52.198205,122.206,1162,1169,0.854496,0.684523,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,12,2026-08-04T16:38:34.8073774+09:00,2026-08-04T16:38:34.9293774+09:00,52.275991,52.398285,122.293,1174,1181,0.908698,0.785336,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,13,2026-08-04T16:38:36.7963774+09:00,2026-08-04T16:38:36.9293774+09:00,54.265114,54.398184,133.069,1293,1301,0.884705,0.777627,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,14,2026-08-04T16:38:37.0293774+09:00,2026-08-04T16:38:37.1743774+09:00,54.498240,54.642800,144.560,1307,1316,0.924294,0.656026,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,15,2026-08-04T16:38:38.9293774+09:00,2026-08-04T16:38:39.0633774+09:00,56.398067,56.531521,133.453,1421,1429,0.901318,0.607508,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,16,2026-08-04T16:38:41.0293774+09:00,2026-08-04T16:38:41.1403774+09:00,58.498132,58.609422,111.290,1547,1554,0.820550,0.518338,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,17,2026-08-04T16:38:41.2963774+09:00,2026-08-04T16:38:41.3403774+09:00,58.764828,58.809237,44.409,1563,1566,0.834504,0.647628,0,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,18,2026-08-04T16:38:43.0963774+09:00,2026-08-04T16:38:43.1293774+09:00,60.564961,60.598069,33.108,1671,1673,0.847340,0.603575,0,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,19,2026-08-04T16:38:43.2623774+09:00,2026-08-04T16:38:43.3293774+09:00,60.731429,60.798059,66.631,1681,1685,0.845121,0.603176,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,20,2026-08-04T16:38:45.0293774+09:00,2026-08-04T16:38:45.1403774+09:00,62.497848,62.609201,111.354,1787,1794,0.967080,0.624648,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,21,2026-08-04T16:38:48.5623774+09:00,2026-08-04T16:38:48.6623774+09:00,66.031199,66.131261,100.063,1999,2005,0.813647,0.546155,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,22,2026-08-04T16:38:48.8293774+09:00,2026-08-04T16:38:48.8963774+09:00,66.297976,66.364796,66.820,2015,2019,0.689872,0.489087,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,23,2026-08-04T16:38:51.2733774+09:00,2026-08-04T16:38:51.4293774+09:00,68.742464,68.897946,155.482,2162,2171,0.918431,0.478849,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,24,2026-08-04T16:38:53.1293774+09:00,2026-08-04T16:38:53.1623774+09:00,70.597543,70.631002,33.460,2273,2275,0.854260,0.627394,0,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,25,2026-08-04T16:38:54.6073774+09:00,2026-08-04T16:38:54.7293774+09:00,72.075589,72.197839,122.250,2362,2369,0.698131,0.517572,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,26,2026-08-04T16:38:54.7733774+09:00,2026-08-04T16:38:54.8963774+09:00,72.242400,72.364902,122.501,2372,2379,0.904984,0.759146,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,27,2026-08-04T16:38:56.6073774+09:00,2026-08-04T16:38:56.7293774+09:00,74.075556,74.197812,122.256,2482,2489,0.854249,0.617329,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,28,2026-08-04T16:38:56.8293774+09:00,2026-08-04T16:38:56.8963774+09:00,74.297844,74.364739,66.895,2495,2499,0.902284,0.656334,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,29,2026-08-04T16:39:00.3623774+09:00,2026-08-04T16:39:00.4953774+09:00,77.830666,77.964206,133.540,2707,2715,0.942007,0.752181,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,30,2026-08-04T16:39:01.8283774+09:00,2026-08-04T16:39:01.8953774+09:00,79.297460,79.364017,66.557,2795,2799,0.719458,0.579646,1,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,31,2026-08-04T16:39:02.8963774+09:00,2026-08-04T16:39:02.9293774+09:00,80.364666,80.397720,33.055,2859,2861,0.509766,0.387914,0,0,EyesOpened
20260804_163742_531,1,Unspecified,Blink,32,2026-08-04T16:39:03.9953774+09:00,2026-08-04T16:39:04.0403774+09:00,81.464462,81.508908,44.446,2925,2928,0.853593,0.652013,0,0,EyesOpened
